"","V1","V1","index","uid","date","time","secchi","lat","lon","Provider","blue","green","red","pan","nir","swir16","swir22","Image_name","predicted","green_red","blue_green","blue_red","LH","RF","QAA_RGB","XGBOOTS","SVM"
"1",1,0,0,"Daniel_93200_CB4.4","07/12/09","12:54:00",2.2,38.41457,-76.34565,"EOTB",0.009022743,0.00914337,0.004960251,0.00765232,0.002906724,0.000425409,0.000955633,"LE07_L1TP_014033_20091207_20160916_01_T1",3.49481105804443,1.84332808964708,0.986807161910762,1.81900936061502,0.0017456238,2.60900707526371,3.71562429255535,2.0314736366272,2.40892742574182
"2",2,1,9,"Daniel_85762_ELD01","09/02/16","10:00:00",1.1,36.86556,-76.32899,"CHESEAPEK_BAY",0.003278989,0.005712202,0.005065022,0.005864238,0.001786646,-0.000347914,-0.000900588,"LE07_L1TP_014034_20160210_20160902_01_T1",1.40631794929504,1.12777437097016,0.57403239591317,0.647379024217466,0.0017187998,1.06245991893548,1.77508673679221,1.12835943698883,1.2972322989862
"3",3,3,14,"Daniel_34885_XJH5342","02/09/09","09:45:00",0.7,39.4209,-76.096,"CHESEAPEK_BAY",0.007268962,0.012075577,0.010898314,0.010180499,0.004333048,-0.00017977,-0.000111219,"LE07_L1TP_014033_20090902_20160916_01_T1",0.868475198745728,1.10802248861613,0.601955666383478,0.666980415502802,0.0033548742,0.798715053763441,1.35627247474173,0.752124130725861,0.779833377910512
"4",4,4,16,"Daniel_117716_CB3.2","22/09/10","08:32:00",1.6,39.16369,-76.30631,"EOTB",0.003517614,0.005853885,0.004509062,0.005378438,0.002208136,3.11e-05,-0.000416805,"LE07_L1TP_014033_20100921_20160914_01_T1",1.6197292804718,1.29824894845092,0.600902477585398,0.780121009646796,0.0019396918,1.26324001665484,1.91163743809172,1.34922516345978,1.63480008100174
"5",5,7,22,"Daniel_117238_CB3.1","16/07/21","09:06:00",0.5,39.2495,-76.2405,"EOTB",0.007892201,0.014682451,0.010951866,0.011036962,0.004231219,-0.000755543,-0.000523067,"LE07_L1TP_014033_20210717_20210812_01_T1",0.62389063835144,1.34063464618723,0.537526125576717,0.720626147178937,0.005566384,0.825622784525538,1.17857824926674,0.658917009830475,0.799410573940558
"6",6,11,36,"Daniel_49432_LE2.3","13/01/09","09:49:00",1.8,38.0215,-76.3477,"CHESEAPEK_BAY",0.007993047,0.009355245,0.005662578,0.006786885,0.002911115,0.000445835,-0.000519785,"LE07_L1TP_015033_20090112_20160919_01_T1",3.37093114852905,1.65211763970404,0.854392054938166,1.41155618518632,0.0022943856,3.25429406380027,2.76600963555286,2.92952346801758,2.04668556858889
"7",7,15,48,"Daniel_71534_LE4.3","11/01/05","07:30:00",2,37.23392,-76.43094,"CHESEAPEK_BAY",0.007682103,0.010776929,0.006433835,0.008002984,0.003280701,0.000533506,-0.000460188,"LE07_L1TP_014034_20050110_20160925_01_T1",2.36156702041626,1.67503969250066,0.712828580386862,1.19401616609689,0.0035941332,1.89820708007581,2.05797065502913,1.69918310642242,1.8366260830146
"8",8,18,57,"Daniel_25337_CB5.1","14/03/05","13:06:00",1.8,38.3187,-76.29215,"CHESEAPEK_BAY",0.005675033,0.007347145,0.004070838,0.005446141,0.002602378,0.001099309,0.00055209,"LE07_L1TP_014033_20050315_20160925_01_T1",3.01469230651855,1.8048237242553,0.772413366008157,1.39406996790341,0.00231379,3.17858688445968,2.94216779745611,2.8914487361908,2.55551697528113
"9",9,19,58,"Daniel_15347_CB4.1E","21/09/10","13:24:00",1.8,38.81809,-76.37144,"CHESEAPEK_BAY",0.004033652,0.005278632,0.003284031,0.004552902,0.002792599,0.000285121,-0.000287422,"LE07_L1TP_014033_20100921_20160914_01_T1",3.2785382270813,1.60736363329092,0.764147226023712,1.22826246159065,0.0015448284,2.96253402706452,2.87248349007254,2.71379566192627,2.56856812516877
"10",10,21,66,"Daniel_59998_LE3.6","24/06/13","16:47:00",1.1,37.5968,-76.28467,"CHESEAPEK_BAY",0.0105262,0.014457423,0.010161699,0.0116903,0.006834467,0.004598795,0.003990983,"LE07_L1TP_014034_20130625_20160907_01_T1",1.53107094764709,1.42273678840517,0.728082729543156,1.0358700843235,0.0040770234,1.01630443812473,1.48624820235444,0.800790905952454,1.11155857356924
"11",11,23,71,"Daniel_24097_LE1.4","05/02/09","09:03:00",1.6,38.312,-76.42151,"CHESEAPEK_BAY",0.007002163,0.008103275,0.005093192,0.006603685,0.001733527,4.99e-05,0.000595279,"LE07_L1TP_014033_20090206_20160917_01_T1",3.80039691925049,1.59100128171096,0.864115187994977,1.37480837164591,0.0018647004,3.4177830339,2.86822376780191,2.7701416015625,2.12568363120286
"12",12,24,72,"Daniel_91572_CB4.3C","12/06/20","09:30:00",1.2,38.55505,-76.42794,"EOTB",0.001940224,0.004046045,0.001908433,0.003554086,0.001012288,-0.000419291,0.000217385,"LE07_L1TP_014033_20200612_20200708_01_T1",3.34356880187988,2.12008752730643,0.479535941888931,1.01665816929387,0.0021185374,2.98232486137527,2.24857017744928,2.82932829856873,3.00746429781453
"13",13,25,77,"Daniel_100379_LE1.2","13/12/99","11:31:00",1.4,38.37887,-76.51132,"EOTB",0.005415439,0.008149225,0.004183292,0.00629349,0.002400393,0.000681334,-0.000408878,"LE07_L1TP_014033_19991212_20161003_01_T1",2.87930154800415,1.94804115992859,0.664534234850553,1.29454004167053,0.0032266448,2.90531653920672,2.50975433459469,2.91786885261536,2.49751351754918
"14",14,26,83,"Daniel_27243_CB3.3C","15/04/08","15:06:00",0.5,38.99596,-76.35967,"CHESEAPEK_BAY",0.012559986,0.021327013,0.016428974,0.015039464,0.006825217,0.004493861,0.003793966,"LE07_L1TP_015033_20080415_20160919_01_T1",0.550462126731873,1.29813419876372,0.588923821634094,0.764502153329843,0.0072194318,0.519175652957258,1.07312281570183,0.439340502023697,0.738008604754273
"15",15,27,86,"Daniel_22287_CB2.1","12/06/20","10:00:00",0.5,39.44149,-76.02599,"CHESEAPEK_BAY",0.00435502,0.010235038,0.007174656,0.006926842,0.001882341,-0.000924855,-0.000521385,"LE07_L1TP_014033_20200612_20200708_01_T1",0.81604540348053,1.42655452749233,0.425501107079427,0.607000530757154,0.0047521636,1.08988844471559,0.843005532497268,1.04234075546265,0.775838423528102
"16",16,28,91,"Daniel_108530_ET6.2","17/09/14","13:00:00",0.4,38.34133,-75.88834,"EOTB",0.009235284,0.01534141,0.013420982,0.013013045,0.007082271,0.001754639,0.001707286,"LE07_L1TP_014033_20140916_20160903_01_T1",0.627750933170319,1.14309146677941,0.601984041884025,0.688122821415005,0.0044318468,0.664866935483871,1.21276512630619,0.568710148334503,0.683765055323167
"17",17,29,92,"Daniel_71609_YRK031.24","28/08/07","09:52:00",0.4,37.50465,-76.79252,"CHESEAPEK_BAY",0.007786972,0.014188028,0.012487311,0.012904451,0.008188901,-0.000707343,0.000127013,"LE07_L1TP_014034_20070828_20160919_01_T1",0.63559627532959,1.13619561489259,0.548841036964404,0.623590779472058,0.0045209204,0.675520698924732,1.08206697620937,0.661353230476379,0.649790424722357
"18",18,32,101,"Daniel_27743_XHG4755","20/05/09","10:23:00",1,39.0779,-76.24163,"CHESEAPEK_BAY",0.00325441,0.00825025,0.004538117,0.006115447,0.003232661,0.000955967,0.000505456,"LE07_L1TP_015033_20090520_20160917_01_T1",1.67536163330078,1.81798970806614,0.394461986000424,0.717127830772102,0.0044823572,1.44704605988038,1.10889725801034,1.31404113769531,1.30984011275722
"19",19,33,102,"Daniel_22588_CB3.2","11/05/17","08:55:00",0.9,39.16369,-76.30631,"CHESEAPEK_BAY",0.010963997,0.01768338,0.016093226,0.014586277,0.008094162,0.003041285,0.003358314,"LE07_L1TP_015033_20170510_20170605_01_T1",0.543062329292297,1.09880890257802,0.620017044252852,0.681280247975142,0.0046676914,0.479306451612903,1.08770402984453,0.506601631641388,0.603621359891243
"20",20,34,103,"Daniel_17047_CB3.1","15/11/01","08:08:00",1,39.2495,-76.2405,"CHESEAPEK_BAY",0.009103829,0.01281815,0.009312652,0.010125089,0.002332881,0.000546057,0.000224693,"LE07_L1TP_014033_20011115_20160929_01_T1",1.81325232982635,1.37642317140166,0.710229557307412,0.977576419692264,0.0036307918,1.38904678855108,1.47290726753309,1.29484450817108,1.17473005538559
"21",21,35,119,"Daniel_112330_RET2.4","08/03/11","08:20:00",0.5,38.3626,-76.99063,"EOTB",0.011315872,0.0188524,0.016464904,0.014633692,0.007593791,0.003593843,0.004128614,"LE07_L1TP_015033_20110307_20160913_01_T1",0.468969523906708,1.14500515763712,0.600235089431584,0.68727227319394,0.0054769152,0.478857255388441,1.07181885695154,0.492462664842606,0.618594270360353
"22",22,36,128,"Daniel_47273_TF2.1","08/09/20","09:57:00",0.7,38.70664,-77.04876,"CHESEAPEK_BAY",0.004942193,0.011923753,0.008920078,0.009403873,0.005460427,-0.00029652,-0.000299525,"LE07_L1TP_015033_20200907_20201003_01_T1",0.488426566123962,1.33673192095405,0.414483007153872,0.554052666355608,0.005390406,0.510483717130376,0.702653712473751,0.355385839939117,0.550318862625176
"23",23,38,145,"Daniel_88670_CB4.1W","11/09/01","14:26:00",1.6,38.81498,-76.46272,"EOTB",0.004738521,0.007016062,0.004322295,0.005150462,0.001250129,0.000151349,0.000489585,"LE07_L1TP_014033_20010912_20160930_01_T1",2.43690037727356,1.62322608706717,0.675381859510363,1.09629745308916,0.0024440314,2.19086659746102,2.22161066067254,2.2362756729126,2.16609670363554
"24",24,40,148,"Daniel_38639_EE2.2","03/06/14","09:58:00",1.4,38.52609,-76.30408,"CHESEAPEK_BAY",0.004607714,0.008255852,0.003946282,0.006289903,0.001513279,-0.000448713,0.000481899,"LE07_L1TP_015033_20140603_20160906_01_T1",3.12409520149231,2.09205829689819,0.558114898377539,1.16760890377322,0.0039127108,2.60696103122554,2.13459177086815,2.21334671974182,2.37392639686396
"25",25,41,149,"Daniel_125095_NLD00121","11/06/14","22:00:00",2.2,51.71462,3.99933,"BAFG",0.003643343,0.004661555,0.003426105,0.005479498,0.005008341,0.001113605,0.000977714,"LE07_L1TP_199024_20140612_20161114_01_T1",3.21556949615479,1.36059898923121,0.781572458117517,1.06340669652565,0.0011051072,3.27187703133871,2.52710774695043,2.56970000267029,2.2317369744665
"26",26,42,163,"Daniel_64741_CB6.4","14/08/02","15:24:00",1.9,37.23653,-76.20799,"CHESEAPEK_BAY",0.010911599,0.01138413,0.007548872,0.009332466,0.006022202,0.002651118,0.002648802,"LE07_L1TP_014034_20020814_20160929_01_T1",3.03440999984741,1.50805709780216,0.958492128954958,1.44546085825803,0.0018176218,2.28340872775564,2.65880965556051,1.9854633808136,1.51624811548083
"27",27,43,173,"Daniel_99094_TF2.1","24/08/09","12:10:00",0.7,38.70664,-77.04876,"EOTB",0.007217093,0.012534195,0.00851781,0.010843281,0.006702054,-0.001793979,-0.001589538,"LE07_L1TP_015033_20090824_20160917_01_T1",0.991512417793274,1.47152789273299,0.57579230257707,0.847294433663113,0.0047968152,1.00402123655914,1.52236265662125,0.897058546543121,1.15055690069539
"28",28,44,180,"Daniel_110206_LE2.2","05/10/09","10:31:00",1.8,38.1576,-76.598,"EOTB",0.004612698,0.007271634,0.004617872,0.006079416,0.003364329,0.000308787,0.00098088,"LE07_L1TP_014034_20091004_20160916_01_T1",2.20506143569946,1.57467205673955,0.634341332360787,0.99887957050347,0.0026568664,2.07756885090215,1.93412796166609,2.01757454872131,1.96623734330988
"29",29,45,181,"Daniel_94218_CB5.1","15/10/07","12:36:00",1.6,38.3187,-76.29215,"EOTB",0.005079871,0.006097897,0.003375995,0.006121584,0.003934868,0.002606427,0.002430074,"LE07_L1TP_014033_20071015_20160919_01_T1",3.53941965103149,1.80625178651035,0.833052936118796,1.50470335412227,0.0016995764,3.42111554308387,3.4697872198414,3.32756614685059,2.83301524902825
"30",30,46,182,"Daniel_56801_CB5.3","15/09/14","10:18:00",1.7,37.91011,-76.17137,"CHESEAPEK_BAY",0.003393755,0.004809695,0.002549162,0.004355818,0.001523546,0.000685671,0.000414761,"LE07_L1TP_014034_20140916_20160905_01_T1",3.27447724342346,1.88677494800252,0.7056071123013,1.33132182262249,0.0017537772,3.48919593858925,3.16123137157678,3.18688368797302,3.0927821727362
"31",31,48,205,"Daniel_59863_CB7.1S","19/02/02","12:22:00",2.2,37.58124,-76.05799,"CHESEAPEK_BAY",0.012058472,0.013472449,0.005716026,0.006905595,0.002281461,0.000775457,-0.000121384,"LE07_L1TP_014034_20020219_20160929_01_T1",2.28121948242188,2.35696076259975,0.895046772862158,2.10959012432764,0.0039509554,2.45325513885323,3.35062626655344,2.49725198745728,2.58599220925197
"32",32,49,207,"Daniel_15535_CB4.2W","28/04/09","10:31:00",1,38.64354,-76.50217,"CHESEAPEK_BAY",0.002494915,0.006483333,0.002231796,0.004325198,0.001468875,0.000624688,0.001364476,"LE07_L1TP_014033_20090427_20160917_01_T1",2.37600517272949,2.90498459536624,0.384819814129553,1.11789563203805,0.0040936656,3.1169526364293,2.01501686812807,2.20678019523621,2.61500950745768
"33",33,51,212,"Daniel_69672_LE3.2","08/02/01","08:50:00",1.5,37.66914,-76.55047,"CHESEAPEK_BAY",0.004912027,0.009104392,0.004402356,0.005962055,0.002101451,-1.92e-05,0.000491865,"LE07_L1TP_015034_20010207_20161002_01_T1",2.86511707305908,2.06807264110399,0.539522792955312,1.11577232736289,0.0043962334,2.50364942900753,1.92938791103048,2.17629718780518,2.16001189732193
"34",34,52,217,"Daniel_97434_EE3.1","14/02/06","11:36:00",0.4,38.19685,-75.97321,"EOTB",0.011422024,0.019506838,0.016542435,0.013495615,0.003307987,-0.001313011,-0.000702031,"LE07_L1TP_014033_20060214_20160923_01_T1",0.465692281723022,1.1791999182708,0.585539491331194,0.690468120322069,0.0060366496,0.604063172043011,1.06844336387725,0.539566159248352,0.638149436292722
"35",35,53,218,"Daniel_15516_CB3.1","14/01/04","09:12:00",0.3,39.2495,-76.2405,"CHESEAPEK_BAY",0.015522773,0.026480318,0.024125875,0.019536465,0.005907131,0.001066135,0.000484518,"LE07_L1TP_015033_20040115_20160926_01_T1",0.27806231379509,1.09758995269602,0.586200399859246,0.643407669151896,0.0075163042,0.825581880301075,0.809697964221208,0.603344738483429,0.676094612186348
"36",36,55,220,"Daniel_86240_CS.SNR-002.86","14/07/20","10:45:00",0.6,36.88548,-76.49579,"CHESEAPEK_BAY",0.007179496,0.013479084,0.010508408,0.010327444,0.003605734,-0.000511631,-0.000233302,"LE07_L1TP_014034_20200714_20200823_01_T1",0.630179882049561,1.2826951523009,0.532639755045669,0.683214431719819,0.0049680232,0.799536123548387,1.15752275864643,0.683530986309052,0.772988990832336
"37",37,56,224,"Daniel_48744_TF2.4","17/07/07","08:00:00",0.6,38.5301,-77.2654,"CHESEAPEK_BAY",0.010006513,0.016980732,0.011600319,0.012669633,0.00723367,-0.000195927,0.000616149,"LE07_L1TP_015033_20070718_20160922_01_T1",0.843618392944336,1.46381595195787,0.589286315807823,0.862606709349976,0.0063366966,0.867674865591398,1.31307293857926,0.772709369659424,0.953503952680822
"38",38,58,229,"Daniel_20942_CB2.1","11/11/20","10:31:00",1.2,39.44149,-76.02599,"CHESEAPEK_BAY",0.004101341,0.010418057,0.005650932,0.006794122,0.001600467,0.000682001,-0.00039377,"LE07_L1TP_015032_20201110_20201206_01_T1",1.45324563980103,1.84359978141659,0.393676191251401,0.725781340139998,0.0056968796,0.968868279575269,1.01079422153431,0.692086398601532,1.10865876943385
"39",39,60,250,"Daniel_92686_CB4.3W","13/03/07","09:43:00",1.4,38.55728,-76.49402,"EOTB",0.004100397,0.006262734,0.003451883,0.005211735,0.002220637,0.000899397,-0.000139641,"LE07_L1TP_015033_20070312_20160922_01_T1",2.90920066833496,1.8142949804498,0.654729547830069,1.18787253218026,0.0024217426,2.734007391125,2.52129933019682,2.69074130058289,2.57198685793781
"40",40,61,252,"Daniel_20854_CB4.1C","25/08/15","13:02:00",1.2,38.82593,-76.39945,"CHESEAPEK_BAY",0.006506941,0.009226355,0.008342139,0.008916003,0.006301316,0.003988323,0.004018641,"LE07_L1TP_015033_20150825_20160903_01_T1",1.8138827085495,1.10599391834636,0.705255867566336,0.780008700406454,0.0019853348,1.28983818449355,1.5375218663242,1.14569711685181,1.07257791051039
"41",41,62,254,"Daniel_55386_CB6.1","29/11/12","11:07:00",1.6,37.58847,-76.16216,"CHESEAPEK_BAY",0.008858718,0.010045905,0.005467035,0.007142022,0.001479485,0.000904056,-0.000178489,"LE07_L1TP_014034_20121129_20160910_01_T1",3.00552797317505,1.83754173880357,0.881823787901637,1.62038801653913,0.0025438602,2.59634321965753,3.10259094265103,2.01538276672363,2.25556515379061
"42",42,63,255,"Daniel_65674_MJB004.30","09/11/10","11:26:00",1.4,37.32493,-76.39478,"CHESEAPEK_BAY",0.009493419,0.012466624,0.007769001,0.008670224,0.0014495,-6.99e-05,0.000493583,"LE07_L1TP_014034_20101108_20160914_01_T1",2.36478567123413,1.60466242699673,0.761506804087458,1.2219613564215,0.0036629722,1.72681560423575,1.9902941573617,1.4031594991684,1.57838119417061
"43",43,64,258,"Daniel_81538_RET5.1A","01/11/11","11:45:00",0.4,37.3123,-76.87672,"CHESEAPEK_BAY",0.005712127,0.012358221,0.013707155,0.011580695,0.004726506,-6.87e-05,0.000392167,"LE07_L1TP_015034_20111102_20160912_01_T1",0.577909588813782,0.90158906060375,0.462212724630835,0.416725936199014,0.0034480828,0.579763440860215,0.594714309633312,0.48668447136879,0.458814536291456
"44",44,66,268,"Daniel_77917_EE3.1","14/08/02","09:20:00",0.8,38.19685,-75.97321,"CHESEAPEK_BAY",0.014866786,0.018641252,0.014478355,0.015095289,0.006999265,0.004049317,0.003113475,"LE07_L1TP_014033_20020814_20160928_01_T1",0.428668648004532,1.28752555107262,0.79752078883972,1.02682839314273,0.0039298384,0.739943739939785,1.27145971088834,0.830509424209595,0.591184940999439
"45",45,67,270,"Daniel_114604_EE3.0","13/08/08","09:00:00",0.8,38.28093,-76.01033,"EOTB",0.014421167,0.016757548,0.012770296,0.013222578,0.007221822,0.001466632,0.001165292,"LE07_L1TP_014033_20080814_20160918_01_T2",0.653423428535461,1.31222862805999,0.860577394735793,1.12927429403359,0.0029967294,1.0875470542586,1.56114368464037,1.06297194957733,0.673376566934875
