"","station_id","V1","B1","B2","B3","B4","B5","id","organization","region","local","lat","long","date","chla","tss","secchi","acdom440","local_year_month","OWT","predicted_yin"
"1","AGID_1000",7,0.00748247787074274,0.0108778231948608,0.0209683222846722,0.0216370186497187,0.0037066049653693,"AGID_1000","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.88906,117.483,2009-08-20,18.7,132,0.15,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.879411413050679
"2","AGID_1001",8,0.00826302657830762,0.0123748992263685,0.0235188024992348,0.0255039016674544,0.00471270916505267,"AGID_1001","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.83303,117.521,2009-08-25,6.3,52,0.2,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.776276298403091
"3","AGID_1002",9,0.00942545362654234,0.0134675120560751,0.0243245954042263,0.0235127740174715,0.00305424932820342,"AGID_1002","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.82403,117.511,2009-08-25,7.5,90,0.3,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.913749237614474
"4","AGID_1003",10,0.00710459472990373,0.0111473315072617,0.0222397077785239,0.0219311417738177,0.00219780613356388,"AGID_1003","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.81375,117.498,2009-08-25,9.6,92,0.3,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.843449606585677
"5","AGID_1004",11,0.00716060176390215,0.011298686366529,0.0225078072592071,0.0224373358123341,0.00215536144662823,"AGID_1004","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.80692,117.488,2009-08-25,6.7,32,0.25,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.84769881041464
"6","AGID_1005",12,0.00643839289174268,0.0103114599577605,0.021030352795833,0.0199576060860791,0.00151818275104659,"AGID_1005","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.79433,117.468,2009-08-25,5.8,22,0.3,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.880871668279199
"7","AGID_1006",13,0.00667338226511981,0.0107326526318717,0.0220234215329613,0.0216927631039138,0.00153962298766227,"AGID_1006","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.78597,117.451,2009-08-25,3.2,18,0.5,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.799634027245565
"8","AGID_1007",14,0.00913092987133021,0.0139884779032053,0.0298503535123279,0.0348434804606693,0.00488348899526341,"AGID_1007","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.74111,117.399,2009-08-25,5,38,0.15,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.654060082207641
"9","AGID_1008",15,0.00923946774033316,0.013747465904278,0.0286907712777469,0.036342562836609,0.0101187669245644,"AGID_1008","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.67964,117.38,2009-08-25,11.5,58,0.1,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.627655336147927
"10","AGID_1009",16,0.00858017964108761,0.012766645414116,0.0264777197231312,0.0330554155607469,0.00792284867790045,"AGID_1009","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.63969,117.347,2009-08-25,9.6,66,0.1,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.625309750461388
