"","station_id","V1","organization","region","local","lat","long","date","chla","tss","secchi_m","acdom440","local_year_month","OWT","Rrs479","Rrs561","Rrs661","Rrs850"
"1","AGID_1000",7,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.88906,117.483,2009-08-20,18.7,132,0.15,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.0105711566282662,0.0205041900276107,0.0221194711378209,0.00604297538193622
"2","AGID_1001",8,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.83303,117.521,2009-08-25,6.3,52,0.2,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.0120011301676984,0.0230583468516622,0.0255429940944351,0.00774746742756412
"3","AGID_1002",9,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.82403,117.511,2009-08-25,7.5,90,0.3,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.0130957895480477,0.0237357622491935,0.0241061357139467,0.00505275248407774
"4","AGID_1003",10,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.81375,117.498,2009-08-25,9.6,92,0.3,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.0107753093592643,0.0216673892442401,0.0224986969664192,0.00385737235995106
"5","AGID_1004",11,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.80692,117.488,2009-08-25,6.7,32,0.25,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.0109163102741355,0.0219316938207017,0.0229143796818057,0.00384210416650237
"6","AGID_1005",12,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.79433,117.468,2009-08-25,5.8,22,0.3,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.00995192194702696,0.0204144410915911,0.0205927650823273,0.00284906379697609
"7","AGID_1006",13,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.78597,117.451,2009-08-25,3.2,18,0.5,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.0103576750394768,0.0214134717603099,0.0221555814907008,0.00288168643536827
"8","AGID_1007",14,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.74111,117.399,2009-08-25,5,38,0.15,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.0135568154697042,0.0292354638250438,0.034510693582648,0.00811066908473895
"9","AGID_1008",15,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.67964,117.38,2009-08-25,11.5,58,0.1,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.0133520706309148,0.0282392915445309,0.0353226629486157,0.0148168083750532
"10","AGID_1009",16,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.63969,117.347,2009-08-25,9.6,66,0.1,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.0123981686225076,0.0260432550695116,0.0322088688898526,0.0122294744153803
"11","AGID_1010",18,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.468,117.493,2009-08-26,9.2,26,0.15,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.0242032345703827,0.0441542544719459,0.0508201048154123,0.0196197323313248
"12","AGID_1011",19,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.51242,117.436,2009-08-26,5.2,26,0.15,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.0175899873516904,0.0379033264212325,0.0454596507548979,0.0123567397816561
"13","AGID_1012",20,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.44678,117.52,2009-08-26,11.9,82,0.1,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.0161002257770668,0.0348088606547626,0.0429785850921855,0.0143317574070112
"14","AGID_1013",21,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.43431,117.538,2009-08-26,16.3,20,0.1,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.0171468930766472,0.0369129623146212,0.046314433680121,0.0192605900435362
"15","AGID_1014",22,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.42094,117.554,2009-08-26,13,48,0.1,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.0157833422408934,0.0349614717505414,0.043675375897213,0.0153794019478544
"16","AGID_1015",23,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.40728,117.568,2009-08-26,9.1,52,0.1,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.0163215036544402,0.0349146871196268,0.0433943318727756,0.0160266976368058
"17","AGID_1016",24,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.396,117.583,2009-08-26,11.5,41,0.1,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.0161147636227457,0.0344590784007521,0.0416672910746336,0.0129981906392744
"18","AGID_1017",25,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.38714,117.596,2009-08-26,8.4,38,0.1,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.0140222236713886,0.0294832141708957,0.0351991924961765,0.0103798551368738
"19","AGID_1018",26,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.37983,117.611,2009-08-26,10.7,42,0.15,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.0135689698123475,0.0282869601780007,0.0316267142052058,0.00719523160922333
"20","AGID_1019",27,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.37758,117.634,2009-08-26,6.7,54,0.2,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.0110046984162847,0.0204754514791472,0.0207663245259746,0.00426999868616062
"21","AGID_1020",29,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.89322,117.403,2009-08-27,4.1,40,0.1,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.0125450483041783,0.0247336580305024,0.0272175811173945,0.00619507918650854
"22","AGID_1021",30,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.87383,117.397,2009-08-27,3.4,76,0.2,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.012525114897268,0.0249476053655731,0.027309561803811,0.00634580105218369
"23","AGID_1022",31,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.85617,117.389,2009-08-27,5.5,52,0.45,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.0119157985518273,0.0234112906401305,0.0239191769405071,0.00432128772618288
"24","AGID_1023",32,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.82894,117.376,2009-08-27,6,8,0.25,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.0151840437606244,0.0302847008050195,0.0327261570863649,0.00748240087057253
"25","AGID_1024",33,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.77864,117.346,2009-08-27,4.8,8,0.1,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.0150293886866258,0.0321785148982781,0.0395032641365594,0.0121744350977445
"26","AGID_1025",34,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.72175,117.323,2009-08-27,7.6,28,0.15,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.0162122563624338,0.0335128533997963,0.0414491006634322,0.0151553425964771
"27","AGID_1026",35,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.66717,117.305,2009-08-27,5,87,0.1,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.0196102790989673,0.0402742441777748,0.0497931533649345,0.0180780989869829
"28","AGID_1027",36,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.609,117.294,2009-08-27,11.5,92,0.1,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.0137979143401583,0.028653763658448,0.0355170342183168,0.0130642484588901
"29","AGID_1028",37,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.58217,117.273,2009-08-27,8.5,58,0.15,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.0127173301519552,0.0260493034477611,0.0321460975841394,0.0108671419363888
"30","AGID_1029",38,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.57342,117.226,2009-08-27,6.9,20,0.15,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.0124158106750937,0.0250857940142355,0.0305603732997559,0.00999394181490468
"31","AGID_1030",40,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.55775,117.184,2009-08-27,7.9,58,0.15,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.0119770077058062,0.0239707740074227,0.0290455169245515,0.00960367633659576
"32","AGID_1934",1043,"NAN","South Africa","South_Africa",-25.7552,27.8358,NA,327.1,29.3,0.38,0.177331,"South_Africa_NA_NA",5,0.00934883794119398,0.0230789546429494,0.0115279251914248,0.00712470787323825
"33","AGID_1935",1044,"NAN","South Africa","South_Africa",-25.7552,27.8358,NA,69.6,14.8,1.2,1.12847,"South_Africa_NA_NA",5,0.0120370397744182,0.0234384565489136,0.0116915552944901,0.00584470865439894
"34","AGID_1936",1045,"NAN","South Africa","South_Africa",-25.7552,27.8358,NA,1503.3,2533.3,0.61,2.047367,"South_Africa_NA_NA",6,0.00841906587405512,0.0194872389215671,0.00921346685996617,0.0205888666161908
"35","AGID_1937",1046,"NAN","South Africa","South_Africa",-25.7552,27.8358,NA,362.5,37.7,0.73,1.28968,"South_Africa_NA_NA",5,0.0107869886762693,0.020722326951081,0.0111396217161997,0.0167006560358124
