station_id,blue (sr-1),green (sr-1),red (sr-1),nir (sr-1),id,organization,region,local,lat,long,date,chla (mgm-3),tss (mgL-1),secchi (m),acdom440 (m-1),local_year_month
AGID_1000,0.010571157,0.02050419,0.022119471,0.006042975,AGID_1000,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.88906,117.483,2009-08-20,18.7,132,0.15,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1001,0.01200113,0.023058347,0.025542994,0.007747467,AGID_1001,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.83303,117.521,2009-08-25,6.3,52,0.2,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1002,0.01309579,0.023735762,0.024106136,0.005052752,AGID_1002,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.82403,117.511,2009-08-25,7.5,90,0.3,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1003,0.010775309,0.021667389,0.022498697,0.003857372,AGID_1003,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.81375,117.498,2009-08-25,9.6,92,0.3,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1004,0.01091631,0.021931694,0.02291438,0.003842104,AGID_1004,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.80692,117.488,2009-08-25,6.7,32,0.25,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1005,0.009951922,0.020414441,0.020592765,0.002849064,AGID_1005,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.79433,117.468,2009-08-25,5.8,22,0.3,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1006,0.010357675,0.021413472,0.022155581,0.002881686,AGID_1006,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.78597,117.451,2009-08-25,3.2,18,0.5,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1007,0.013556815,0.029235464,0.034510694,0.008110669,AGID_1007,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.74111,117.399,2009-08-25,5,38,0.15,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1008,0.013352071,0.028239292,0.035322663,0.014816808,AGID_1008,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.67964,117.38,2009-08-25,11.5,58,0.1,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1009,0.012398169,0.026043255,0.032208869,0.012229474,AGID_1009,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.63969,117.347,2009-08-25,9.6,66,0.1,NA,Nechad_Matchups_North_Sea_2009_08
