station_id,coastal (sr-1),blue (sr-1),green (sr-1),red (sr-1),nir (sr-1),id,organization,region,local,lat,long,date,chla (mgm-3),tss (mgL-1),secchi (m),acdom440 (m-1),local_year_month
AGID_1000,0.007482478,0.010877823,0.020968322,0.021637019,0.003706605,AGID_1000,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.88906,117.483,20/08/09,18.7,132,0.15,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1001,0.008263027,0.012374899,0.023518802,0.025503902,0.004712709,AGID_1001,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.83303,117.521,25/08/09,6.3,52,0.2,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1002,0.009425454,0.013467512,0.024324595,0.023512774,0.003054249,AGID_1002,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.82403,117.511,25/08/09,7.5,90,0.3,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1003,0.007104595,0.011147332,0.022239708,0.021931142,0.002197806,AGID_1003,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.81375,117.498,25/08/09,9.6,92,0.3,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1004,0.007160602,0.011298686,0.022507807,0.022437336,0.002155361,AGID_1004,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.80692,117.488,25/08/09,6.7,32,0.25,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1005,0.006438393,0.01031146,0.021030353,0.019957606,0.001518183,AGID_1005,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.79433,117.468,25/08/09,5.8,22,0.3,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1006,0.006673382,0.010732653,0.022023422,0.021692763,0.001539623,AGID_1006,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.78597,117.451,25/08/09,3.2,18,0.5,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1007,0.00913093,0.013988478,0.029850354,0.03484348,0.004883489,AGID_1007,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.74111,117.399,25/08/09,5,38,0.15,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1008,0.009239468,0.013747466,0.028690771,0.036342563,0.010118767,AGID_1008,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.67964,117.38,25/08/09,11.5,58,0.1,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1009,0.00858018,0.012766645,0.02647772,0.033055416,0.007922849,AGID_1009,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.63969,117.347,25/08/09,9.6,66,0.1,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1010,0.018799661,0.024674861,0.045177164,0.05157186,0.013568679,AGID_1010,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.468,117.493,26/08/09,9.2,26,0.15,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1011,0.011938283,0.018138743,0.038664036,0.046026018,0.007831435,AGID_1011,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.51242,117.436,26/08/09,5.2,26,0.15,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1012,0.01099665,0.016588809,0.035415174,0.043757836,0.009207817,AGID_1012,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.44678,117.52,26/08/09,11.9,82,0.1,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1013,0.011814175,0.017657648,0.037498558,0.047335316,0.013659635,AGID_1013,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.43431,117.538,26/08/09,16.3,20,0.1,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1014,0.010673832,0.016271158,0.035569574,0.044586768,0.010198368,AGID_1014,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.42094,117.554,26/08/09,13,48,0.1,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1015,0.011270393,0.016807989,0.035498382,0.04427218,0.010967353,AGID_1015,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.40728,117.568,26/08/09,9.1,52,0.1,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1016,0.011072674,0.01660173,0.035100498,0.042214495,0.008370908,AGID_1016,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.396,117.583,26/08/09,11.5,41,0.1,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1017,0.009590682,0.014452958,0.030043355,0.03560913,0.00646477,AGID_1017,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.38714,117.596,26/08/09,8.4,38,0.1,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1018,0.009205656,0.013997432,0.028955396,0.031462747,0.004307151,AGID_1018,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.37983,117.611,26/08/09,10.7,42,0.15,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1019,0.007612266,0.0113483,0.021003179,0.020333187,0.002567192,AGID_1019,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.37758,117.634,26/08/09,6.7,54,0.2,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1020,0.008467821,0.012940114,0.025289791,0.027257712,0.003759853,AGID_1020,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.89322,117.403,27/08/09,4.1,40,0.1,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1021,0.00832379,0.012949372,0.025512586,0.027178557,0.003698596,AGID_1021,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.87383,117.397,27/08/09,3.4,76,0.2,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1022,0.007890636,0.012327237,0.024061035,0.02343183,0.002465429,AGID_1022,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.85617,117.389,27/08/09,5.5,52,0.45,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1023,0.010307811,0.015676952,0.031035451,0.032439766,0.004519294,AGID_1023,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.82894,117.376,27/08/09,6,8,0.25,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1024,0.010286275,0.015488495,0.032765392,0.040328772,0.007844134,AGID_1024,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.77864,117.346,27/08/09,4.8,8,0.1,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1025,0.011431167,0.016674466,0.034068012,0.042426641,0.010185104,AGID_1025,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.72175,117.323,27/08/09,7.6,28,0.15,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1026,0.014118503,0.020132403,0.040931465,0.050959641,0.013085231,AGID_1026,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.66717,117.305,27/08/09,5,87,0.1,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1027,0.009672257,0.014197313,0.029139813,0.036494347,0.008634375,AGID_1027,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.609,117.294,27/08/09,11.5,92,0.1,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1028,0.008871734,0.013094194,0.026491609,0.033032378,0.00686767,AGID_1028,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.58217,117.273,27/08/09,8.5,58,0.15,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1029,0.008706686,0.012780925,0.025528173,0.031327576,0.006192509,AGID_1029,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.57342,117.226,27/08/09,6.9,20,0.15,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1030,0.008456444,0.012322606,0.024387903,0.029735432,0.005953814,AGID_1030,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.55775,117.184,27/08/09,7.9,58,0.15,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1934,0.005514594,0.009696068,0.025294248,0.011316461,0.00425513,AGID_1934,NAN,South Africa,South_Africa,-25.7552,27.8358,NA,327.1,29.3,0.38,0.177331,South_Africa_NA_NA
AGID_1935,0.008052916,0.012418577,0.02541176,0.011410058,0.003643923,AGID_1935,NAN,South Africa,South_Africa,-25.7552,27.8358,NA,69.6,14.8,1.2,1.12847,South_Africa_NA_NA
AGID_1936,0.005153923,0.00871753,0.021388855,0.009317816,0.01552193,AGID_1936,NAN,South Africa,South_Africa,-25.7552,27.8358,NA,1503.3,2533.3,0.61,2.047367,South_Africa_NA_NA
AGID_1937,0.007821278,0.011056557,0.022448724,0.011329446,0.011221212,AGID_1937,NAN,South Africa,South_Africa,-25.7552,27.8358,NA,362.5,37.7,0.73,1.28968,South_Africa_NA_NA
AGID_1938,0.003944426,0.007424957,0.019869634,0.008844826,0.014213275,AGID_1938,NAN,South Africa,South_Africa,-25.7552,27.8358,NA,1842.7,10,0.36,1.416345,South_Africa_NA_NA
AGID_1939,0.005686962,0.011222567,0.031101831,0.013835831,0.159707531,AGID_1939,NAN,South Africa,South_Africa,-25.7552,27.8358,NA,13296.7,1033.3,0.21,3.145898,South_Africa_NA_NA
AGID_1940,0.005002118,0.00905579,0.024536226,0.010770877,0.039965354,AGID_1940,NAN,South Africa,South_Africa,-25.7552,27.8358,NA,597.7,300,0.26,1.361073,South_Africa_NA_NA
AGID_1941,0.005989346,0.01033512,0.0285982,0.012692613,0.01592924,AGID_1941,NAN,South Africa,South_Africa,-25.7479,27.8635,NA,74.7,8.3,1.06,0.57575,South_Africa_NA_NA
AGID_1942,0.009474513,0.016960214,0.042972029,0.019123897,0.164874786,AGID_1942,NAN,South Africa,South_Africa,-25.7479,27.8635,NA,5197.7,1466.7,0.16,1.47392,South_Africa_NA_NA
AGID_1943,0.006748734,0.013123179,0.034810654,0.01521381,0.118462348,AGID_1943,NAN,South Africa,South_Africa,-25.7479,27.8635,NA,9616.3,1566.7,0.01,2.263849,South_Africa_NA_NA
AGID_1944,0.004309654,0.007453417,0.016645592,0.007601151,0.00736372,AGID_1944,NAN,South Africa,South_Africa,-25.7479,27.8635,NA,146.4,16.7,1.19,1.476223,South_Africa_NA_NA
AGID_1945,0.004857405,0.008676504,0.021669767,0.009928807,0.022368918,AGID_1945,NAN,South Africa,South_Africa,-25.7479,27.8635,NA,1599.3,5,0.21,1.280468,South_Africa_NA_NA
AGID_1946,0.00492987,0.008843737,0.021184549,0.009669959,0.009309026,AGID_1946,NAN,South Africa,South_Africa,-25.7479,27.8635,NA,3443,500,0.74,1.308104,South_Africa_NA_NA
AGID_1947,0.007307856,0.013813461,0.036772493,0.016516428,0.131963381,AGID_1947,NAN,South Africa,South_Africa,-25.7479,27.8635,NA,11050.3,1833.3,0.02,2.383605,South_Africa_NA_NA
AGID_1948,0.005250497,0.009580419,0.026379978,0.011464578,0.021833024,AGID_1948,NAN,South Africa,South_Africa,-25.7479,27.8635,NA,147.4,25,0.81,1.133076,South_Africa_NA_NA
AGID_1949,0.004152979,0.005147563,0.008475103,0.004174805,0.00044004,AGID_1949,NAN,South Africa,South_Africa,-25.453,29.288,NA,16.77,4.13,2.145,0.538902,South_Africa_NA_NA
AGID_1950,0.003915289,0.005273716,0.008932539,0.004111331,0.000349662,AGID_1950,NAN,South Africa,South_Africa,-25.453,29.288,NA,16.17,2.76,2.23,0.637931,South_Africa_NA_NA
AGID_1951,0.003014289,0.003803077,0.006168554,0.002531571,0.000241983,AGID_1951,NAN,South Africa,South_Africa,-25.453,29.288,NA,8.7,2.84,3.75,0.601083,South_Africa_NA_NA
AGID_1952,0.003266544,0.004033005,0.00627931,0.002684118,0.000334615,AGID_1952,NAN,South Africa,South_Africa,-25.453,29.288,NA,12.5,2.29,3.25,0.548114,South_Africa_NA_NA
AGID_1953,0.002539858,0.003218691,0.00658564,0.002691028,0.000346502,AGID_1953,NAN,South Africa,South_Africa,-25.453,29.288,NA,NA,4,2.41,0.495145,South_Africa_NA_NA
AGID_1954,0.002331062,0.003141154,0.005960306,0.002384702,0.000301909,AGID_1954,NAN,South Africa,South_Africa,-25.453,29.288,NA,20.5,3.27,3.4,0.663264,South_Africa_NA_NA
AGID_1955,0.002611555,0.003497795,0.006136208,0.002409485,0.000221898,AGID_1955,NAN,South Africa,South_Africa,-25.453,29.288,NA,23.2,3.55,3.75,0.455994,South_Africa_NA_NA
AGID_1956,0.00332619,0.004570302,0.008470321,0.004384791,0.000387925,AGID_1956,NAN,South Africa,South_Africa,-25.453,29.288,NA,10.3,3.91,2.05,0.665567,South_Africa_NA_NA
AGID_1957,0.005013076,0.006812205,0.011324933,0.007531609,9.15E-05,AGID_1957,NAN,South Africa,South_Africa,-25.453,29.288,NA,NA,6.58,1.18,0.741566,South_Africa_NA_NA
AGID_1958,0.003897737,0.00417162,0.007614924,0.004614241,0.001414338,AGID_1958,NAN,South Africa,South_Africa,-25.453,29.288,NA,141.87,18.4,0.675,0.683991,South_Africa_NA_NA
AGID_1959,0.001739998,0.001902387,0.005435661,0.002327317,0.000135567,AGID_1959,NAN,South Africa,South_Africa,-25.453,29.288,NA,354.59,19.89,0.61,0.879746,South_Africa_NA_NA
AGID_1960,0.001950532,0.002218457,0.00573641,0.002934157,0.001489641,AGID_1960,NAN,South Africa,South_Africa,-25.453,29.288,NA,250.9,21.2,0.515,0.688597,South_Africa_NA_NA
AGID_1961,0.002468472,0.00276714,0.00616835,0.003400856,0.001515313,AGID_1961,NAN,South Africa,South_Africa,-25.453,29.288,NA,NA,22.3,0.54,1.034047,South_Africa_NA_NA
