station_id,blue (sr-1),green (sr-1),red (sr-1),nir (sr-1),id,organization,region,local,lat,long,date,chla (mgm-3),tss (mgL-1),secchi (m),acdom440 (m-1),local_year_month
AGID_1000,0.011303651,0.021160362,0.022105717,0.005964491,AGID_1000,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.88906,117.483,20/08/09,18.7,132,0.15,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1001,0.012870526,0.023784723,0.025532525,0.007639228,AGID_1001,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.83303,117.521,25/08/09,6.3,52,0.2,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1002,0.013951592,0.024255126,0.024131376,0.004978713,AGID_1002,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.82403,117.511,25/08/09,7.5,90,0.3,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1003,0.011629982,0.022262378,0.022514619,0.003798285,AGID_1003,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.81375,117.498,25/08/09,9.6,92,0.3,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1004,0.011787893,0.022532094,0.022929777,0.00378105,AGID_1004,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.80692,117.488,25/08/09,6.7,32,0.25,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1005,0.010770592,0.020928253,0.020623289,0.002802707,AGID_1005,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.79433,117.468,25/08/09,5.8,22,0.3,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1006,0.011215911,0.021998757,0.022185594,0.002838205,AGID_1006,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.78597,117.451,25/08/09,3.2,18,0.5,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1007,0.014625314,0.030495153,0.034476231,0.007985904,AGID_1007,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.74111,117.399,25/08/09,5,38,0.15,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1008,0.014348783,0.029597929,0.035258996,0.014632982,AGID_1008,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.67964,117.38,25/08/09,11.5,58,0.1,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1009,0.013320576,0.027255221,0.032155141,0.012063319,AGID_1009,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.63969,117.347,25/08/09,9.6,66,0.1,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1010,0.025436346,0.045674049,0.050733474,0.019352589,AGID_1010,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.468,117.493,26/08/09,9.2,26,0.15,NA,Nechad_Matchups_North_Sea_2009_08
