"","V1","station_id","B1","B2","B3","B4","id","organization","region","local","lat","long","date","chla","tss","secchi","acdom440","local_year_month"
"1",1,"Acai_04_2014_Ponto_01",0.00720379147642997,0.0134506734014511,0.015574965567454,0.00430605674872885,"40","LabISA-INPE","AMZ","Acai",-1.9452,-55.5937,2014-04-12,2.75,16,0.6,NA,"Acai_2014_04"
"2",2,"Acai_04_2014_Ponto_02",0.00634079987113862,0.0122226894029363,0.0145124987783871,0.0034403942383443,"40","LabISA-INPE","AMZ","Acai",-1.948,-55.5834,2014-04-12,3.47,14,0.6,NA,"Acai_2014_04"
"3",3,"Acai_04_2014_Ponto_03",0.00838738970611868,0.0150572413063247,0.0177631453446447,0.00497067920537899,"40","LabISA-INPE","AMZ","Acai",-1.9497,-55.5723,2014-04-12,2.39,11.75,0.6,NA,"Acai_2014_04"
"4",3689,"Aranamai_07_2016_Ponto_01",0.00825003437345991,0.0154294078207215,0.0182683632751452,0.00454153200665436,"27","LabISA-INPE","AMZ","Aranamai",-2.25108,-54.6867,2016-07-18,11.61,21.571,0.56,2.4326,"Aranamai_2016_07"
"5",3690,"Aranamai_07_2016_Ponto_02",0.00888414761131778,0.0165926548287028,0.0201736005663825,0.00540887244056717,"27","LabISA-INPE","AMZ","Aranamai",-2.21701,-54.6602,2016-07-18,11.475,20.3,0.42,2.66877,"Aranamai_2016_07"
"6",3691,"Arapiuns_08_2021_Ponto_01",0.00250424714558657,0.003574438276871,0.00268189454415477,0.000298475792845237,"146","LabISA-INPE","AMZ","Arapiuns",-2.298028,-55.02086,2021-09-09,6.64,2.3,2.6,NA,"Arapiuns_2021_09"
"7",3692,"Arapiuns_08_2021_Ponto_02",0.0021490709145289,0.00311868529838159,0.00237079605750994,0.000307809477202182,"146","LabISA-INPE","AMZ","Arapiuns",-2.307813,-55.06762,2021-09-09,6.49,1.1,2.58,NA,"Arapiuns_2021_09"
"8",3693,"Arapiuns_08_2021_Ponto_03",0.0021687152141688,0.0031047706727752,0.00232331141585389,0.000229154297229399,"146","LabISA-INPE","AMZ","Arapiuns",-2.345434,-55.10521,2021-09-09,4.94,1.2,2.5,NA,"Arapiuns_2021_09"
"9",3697,"ARTAAM_08_2021_Ponto_01",0.00820289548904827,0.0149501993765105,0.0172978576803193,0.00386952245772635,"146","LabISA-INPE","AMZ","Arapiuns",-2.354587,-54.91198,2021-09-10,4.19,11,0.71,NA,"Arapiuns_2021_09"
"10",4032,"Branco_08_2019_Ponto_01",0.0065199739059431,0.00943565323245753,0.00819754753658776,0.00258897592378589,"63","LabISA-INPE","AMZ","Branco",-4.722,-66.68,2019-08-20,NA,NA,1.03,NA,"Branco_2019_08"
"11",4033,"Branco_08_2019_Ponto_02",0.00567151674572942,0.00840644040547268,0.00713607262117629,0.00221022249336469,"63","LabISA-INPE","AMZ","Branco",-4.725,-66.68,2019-08-20,NA,NA,0.96,NA,"Branco_2019_08"
"12",4034,"Branco_08_2019_Ponto_03",0.00561190949400333,0.00865917101717894,0.00743753823936644,0.0024339497261075,"63","LabISA-INPE","AMZ","Branco",-4.727,-66.68,2019-08-20,NA,NA,0.27,NA,"Branco_2019_08"
"13",4035,"BuaBua_07_2015_Ponto_01",0.00430783438826558,0.00738813090634718,0.00710380938298964,0.000990955558811542,"88","LabISA-INPE","AMZ","BuaBua",-2.88411,-64.9763,2015-07-10,0.30455,2.3,1.82,1.25,"BuaBua_2015_07"
"14",4036,"BuaBua_07_2015_Ponto_02",0.00512135496991251,0.00717590646083482,0.00651026414670433,0.00124036216804895,"88","LabISA-INPE","AMZ","BuaBua",-2.89961,-64.9853,2015-07-10,0.37,1.6,1.9,1.37,"BuaBua_2015_07"
"15",4037,"BuaBua_07_2015_Ponto_03",0.00483921468672996,0.00725108233985094,0.00668096435496122,0.0010404068969191,"88","LabISA-INPE","AMZ","BuaBua",-2.90084,-64.975,2015-07-10,0.593167,4.9,1.85,1.33,"BuaBua_2015_07"
"16",4038,"BuaBua_07_2016_Ponto_01",0.00349250978931314,0.00467764330635932,0.0045673279565526,0.00118286083015926,"92","LabISA-INPE","AMZ","BuaBua",-2.88453,-64.9766,2016-08-01,6.41,6.7145,1.6,2.99,"BuaBua_2016_08"
"17",4039,"BuaBua_07_2016_Ponto_01_R",0.00176976745364859,0.00261804875876666,0.00239607127139584,0.000503927797743166,"92","LabISA-INPE","AMZ","BuaBua",-2.88467,-64.9762,2016-08-13,19.325,5,1.6,2.39,"BuaBua_2016_08"
"18",4040,"BuaBua_07_2016_Ponto_02",0.00258671589643474,0.00347868393389178,0.00323596253333167,0.000480907779297668,"92","LabISA-INPE","AMZ","BuaBua",-2.90015,-64.986,2016-08-01,2.66,5.5715,1.9,2.83,"BuaBua_2016_08"
"19",4041,"BuaBua_07_2016_Ponto_02_R",0.00216112461822213,0.00291619645798477,0.00282242620593896,0.00073472278222847,"92","LabISA-INPE","AMZ","BuaBua",-2.89962,-64.986,2016-08-13,12.87,3.4285,1.5,2.34,"BuaBua_2016_08"
"20",4042,"BuaBua_07_2016_Ponto_03",0.00238372967924528,0.00372698348227595,0.00372817919120321,0.000568408890360825,"92","LabISA-INPE","AMZ","BuaBua",-2.90153,-64.9751,2016-07-30,4.745,12.713,1.7,3.2,"BuaBua_2016_07"
"21",4043,"BuaBua_07_2016_Ponto_03_R",0.00168493734935421,0.0023855176863002,0.00223630670023912,0.000460553434694801,"92","LabISA-INPE","AMZ","BuaBua",-2.90046,-64.9744,2016-08-13,8.09,3.714,1.7,2.31,"BuaBua_2016_08"
"22",4044,"BuaBua_07_2016_Ponto_04",0.00297191507639426,0.00396553258793273,0.00360305023589205,0.000402297260669098,"92","LabISA-INPE","AMZ","BuaBua",-2.89226,-64.9801,2016-08-01,3.625,5.714,2,3.06,"BuaBua_2016_08"
"23",4045,"BuaBua_07_2016_Ponto_04_R",0.00225973318580739,0.00317326589391421,0.00297265660548237,0.000612776165980493,"92","LabISA-INPE","AMZ","BuaBua",-2.8924,-64.9806,2016-08-17,10.63,4,1.8,2.93,"BuaBua_2016_08"
"24",4046,"BuaBua_07_2016_Ponto_05",0.00219936400465746,0.00311538791352064,0.00298054545401055,0.000448512467356098,"92","LabISA-INPE","AMZ","BuaBua",-2.89609,-64.9777,2016-07-30,2.35,4.857,1.8,2.8,"BuaBua_2016_07"
"25",4047,"BuaBua_07_2016_Ponto_05_R",0.00192119592610559,0.00278616640996594,0.00258405127239566,0.000506450885110564,"92","LabISA-INPE","AMZ","BuaBua",-2.8959,-64.9779,2016-08-17,5.51,4.5555,2,2.77,"BuaBua_2016_08"
"26",4048,"BuaBua_07_2016_Ponto_06",0.00252466460945777,0.00352053372357901,0.00336637199797869,0.00028183026089773,"92","LabISA-INPE","AMZ","BuaBua",-2.88943,-64.976,2016-07-30,8.995,5.143,1.6,3.16,"BuaBua_2016_07"
"27",4049,"BuaBua_07_2016_Ponto_06_R",0.00189175840482709,0.00269801889833505,0.00255096250008249,0.000519609315840746,"92","LabISA-INPE","AMZ","BuaBua",-2.8899,-64.9756,2016-08-17,11.825,4.3335,1.9,NA,"BuaBua_2016_08"
"28",4050,"Cerrado_08_2019_Ponto_01",0.0104667747011636,0.0177052875069736,0.0180781410378667,0.00573798528158316,"64","LabISA-INPE","AMZ","Cerrado",-4.729,-66.7,2019-08-17,NA,NA,0.23,NA,"Cerrado_2019_08"
"29",4051,"Cerrado_08_2019_Ponto_02",0.00810304802175466,0.0126031343163604,0.0125363733099108,0.00461223560831874,"64","LabISA-INPE","AMZ","Cerrado",-4.739,-66.7,2019-08-17,NA,NA,0.28,NA,"Cerrado_2019_08"
"30",4052,"Cerrado_08_2019_Ponto_03",0.0117402246664335,0.0183534130470061,0.0188770716338924,0.00444757468364235,"64","LabISA-INPE","AMZ","Cerrado",-4.748,-66.7,2019-08-17,NA,NA,1.88,NA,"Cerrado_2019_08"
"31",4053,"Cerrado_08_2019_Ponto_04",0.00666807045750253,0.00850210840925304,0.00836166994743253,0.0060523171987238,"64","LabISA-INPE","AMZ","Cerrado",-4.752,-66.71,2019-08-17,NA,NA,1.8,NA,"Cerrado_2019_08"
"32",4054,"Concordia_08_2019_Ponto_01",0.00770280052258794,0.0123609889942325,0.0103525958201715,0.00463803015148884,"62","LabISA-INPE","AMZ","Concordia",-4.567,-66.63,2019-08-19,NA,NA,0.87,NA,"Concordia_2019_08"
"33",4055,"Concordia_08_2019_Ponto_02",0.00564697048107256,0.0081641447033513,0.00618383856742237,0.00255365098817656,"62","LabISA-INPE","AMZ","Concordia",-4.571,-66.63,2019-08-19,NA,NA,0.82,NA,"Concordia_2019_08"
