"","station_id","B1","B2","B3","B4","B5","B6","B7","B8","B8A","id","organization","region","local","lat","long","date","chla","tss","secchi","acdom440","local_year_month"
"1","Acai_04_2014_Ponto_01",0.00542194426057549,0.00799661257686038,0.0136662956594452,0.0154894795964734,0.0129361560260295,0.00504721426412827,0.00501658390505115,0.00420806352337017,0.00303860416414418,"40","LabISA-INPE","AMZ","Acai",-1.9452,-55.5937,2014-04-12,2.75,16,0.6,NA,"Acai_2014_04"
"2","Acai_04_2014_Ponto_02",0.004703608564389,0.00707235189798471,0.0123499684312216,0.0145549532457527,0.0124441702296994,0.00427799962812354,0.00418249460167845,0.00333181762126363,0.0019880932062319,"40","LabISA-INPE","AMZ","Acai",-1.948,-55.5834,2014-04-12,3.47,14,0.6,NA,"Acai_2014_04"
"3","Acai_04_2014_Ponto_03",0.00664288457300656,0.00920496763080013,0.0152384791702571,0.017804822960423,0.0151649506923779,0.00584887842458217,0.00573307819241244,0.00485919268192274,0.00343671530221148,"40","LabISA-INPE","AMZ","Acai",-1.9497,-55.5723,2014-04-12,2.39,11.75,0.6,NA,"Acai_2014_04"
"7","AGID_1000",0.0074500006130886,0.0119381675714989,0.0210337409487992,0.0208839344580634,0.0200592124750474,0.00699485431695687,0.00734098752702032,0.00594473261486433,0.00370584749001484,"AGID_1000","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.88906,117.483,2009-08-20,18.7,132,0.15,NA,"Nechad_Matchups_North_Sea_2009_08"
"8","AGID_1001",0.00821923784110124,0.0136184958732002,0.0235677360757615,0.0250783318387862,0.0234200485073761,0.00894665484742843,0.00937868933741849,0.00760681470076963,0.00471289118733129,"AGID_1001","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.83303,117.521,2009-08-25,6.3,52,0.2,NA,"Nechad_Matchups_North_Sea_2009_08"
"9","AGID_1002",0.00939081360475697,0.0146863637682564,0.0244520185591835,0.0227165572383416,0.0193290185892668,0.00599591330227204,0.00619524137469365,0.00492894290881469,0.00305324728887479,"AGID_1002","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.82403,117.511,2009-08-25,7.5,90,0.3,NA,"Nechad_Matchups_North_Sea_2009_08"
"10","AGID_1003",0.0070690264836493,0.0123637124244104,0.0223380651020362,0.0211062035042031,0.0180250385421016,0.00463059155780353,0.00472002401905274,0.003794887225814,0.00219968310647739,"AGID_1003","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.81375,117.498,2009-08-25,9.6,92,0.3,NA,"Nechad_Matchups_North_Sea_2009_08"
"11","AGID_1004",0.00712500686028692,0.0125348692426249,0.0226081705371364,0.0216783307707009,0.0180989530865961,0.004538347905994,0.00473877242992494,0.00376854194082265,0.00215724605626461,"AGID_1004","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.80692,117.488,2009-08-25,6.7,32,0.25,NA,"Nechad_Matchups_North_Sea_2009_08"
"12","AGID_1005",0.00640859609051997,0.0114722125908825,0.0211494803670979,0.0191001846337282,0.0153619876684225,0.00354500321727016,0.00354483689904023,0.00278870330212782,0.00151690863821266,"AGID_1005","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.79433,117.468,2009-08-25,5.8,22,0.3,NA,"Nechad_Matchups_North_Sea_2009_08"
"13","AGID_1006",0.00663895832017965,0.0119524096026451,0.0221194633480021,0.0209465338330329,0.0167154179094933,0.00350105405494464,0.00350334237451086,0.00285368472873566,0.00153846065158686,"AGID_1006","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.78597,117.451,2009-08-25,3.2,18,0.5,NA,"Nechad_Matchups_North_Sea_2009_08"
"14","AGID_1007",0.00907813176226544,0.0155582854700593,0.0298202053331197,0.0345394408398384,0.0294472820050093,0.00953606974063967,0.00981881836735084,0.00793716367010497,0.00488653184369649,"AGID_1007","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.74111,117.399,2009-08-25,5,38,0.15,NA,"Nechad_Matchups_North_Sea_2009_08"
"15","AGID_1008",0.00918427978335845,0.0152218631869446,0.0286072068716559,0.0365643620946348,0.0347561259829392,0.0162422786429033,0.0172691385064687,0.0145835413367699,0.0101179040593061,"AGID_1008","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.67964,117.38,2009-08-25,11.5,58,0.1,NA,"Nechad_Matchups_North_Sea_2009_08"
"16","AGID_1009",0.00852974829713996,0.0141275306205499,0.0264110230466144,0.0331966176803645,0.0311655141565469,0.013804062689864,0.0145896535157658,0.0119836118925483,0.00793268892000998,"AGID_1009","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.63969,117.347,2009-08-25,9.6,66,0.1,NA,"Nechad_Matchups_North_Sea_2009_08"
"18","AGID_1010",0.0186363317435696,0.0265004227833433,0.0453703766902758,0.0513942484326116,0.0462931351042825,0.0223801924032004,0.0229568730738669,0.0190920661328934,0.0135588408469925,"AGID_1010","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.468,117.493,2009-08-26,9.2,26,0.15,NA,"Nechad_Matchups_North_Sea_2009_08"
"19","AGID_1011",0.0118716431521955,0.0201631268818928,0.0386103756527582,0.0456904224238948,0.0395338094895411,0.0144496801632924,0.0148864390437846,0.0120662228636556,0.00783718606683841,"AGID_1011","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.51242,117.436,2009-08-26,5.2,26,0.15,NA,"Nechad_Matchups_North_Sea_2009_08"
"20","AGID_1012",0.0109293497933311,0.0184369906879453,0.0353303208915571,0.0436447176819325,0.0403280500328611,0.0165633277178537,0.0171784654664691,0.0140107474149643,0.00921198437513137,"AGID_1012","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.44678,117.52,2009-08-26,11.9,82,0.1,NA,"Nechad_Matchups_North_Sea_2009_08"
"21","AGID_1013",0.0117463045929669,0.0195995363037708,0.0373686142440978,0.0473313087567144,0.045200788732703,0.0211932314382719,0.0221251623102711,0.0189536183653973,0.0136504673383716,"AGID_1013","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.43431,117.538,2009-08-26,16.3,20,0.1,NA,"Nechad_Matchups_North_Sea_2009_08"
"22","AGID_1014",0.0106079782989246,0.0181419193477895,0.0354675595764665,0.0445452568939659,0.0413995436029275,0.0175286278637257,0.0183095289799202,0.0150905776398581,0.0101996124696373,"AGID_1014","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.42094,117.554,2009-08-26,13,48,0.1,NA,"Nechad_Matchups_North_Sea_2009_08"
"23","AGID_1015",0.0112072309393734,0.0186329763377819,0.0353834572219353,0.0441969727420268,0.0410085925523233,0.0179921255614729,0.0188039620321332,0.0157501370488169,0.010986713419517,"AGID_1015","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.40728,117.568,2009-08-26,9.1,52,0.1,NA,"Nechad_Matchups_North_Sea_2009_08"
"24","AGID_1016",0.0110105175999234,0.0184172391298054,0.035028782520298,0.04192383868735,0.037919219436384,0.0151174272395039,0.0155522394958021,0.0127069453668999,0.00837145114610678,"AGID_1016","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.396,117.583,2009-08-26,11.5,41,0.1,NA,"Nechad_Matchups_North_Sea_2009_08"
"25","AGID_1017",0.00953550515399975,0.0160206498295347,0.0300108693508875,0.0353585649873175,0.0317773158476271,0.0120847007949608,0.0125662863043921,0.0101600294969496,0.00646114032384899,"AGID_1017","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.38714,117.596,2009-08-26,8.4,38,0.1,NA,"Nechad_Matchups_North_Sea_2009_08"
"26","AGID_1018",0.00915539964177058,0.0155226130765859,0.0289968453540902,0.0308721547061484,0.0259752180001902,0.0086094790957275,0.00883196191785312,0.00701927116777675,0.0043083071185261,"AGID_1018","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.37983,117.611,2009-08-26,10.7,42,0.15,NA,"Nechad_Matchups_North_Sea_2009_08"
"27","AGID_1019",0.0075754994913601,0.0124504703245032,0.0211143405532257,0.0197397380115624,0.0164914871607116,0.00504738883826951,0.0052161379303917,0.00418009898431097,0.00256894927050014,"AGID_1019","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.37758,117.634,2009-08-26,6.7,54,0.2,NA,"Nechad_Matchups_North_Sea_2009_08"
