"","station_id","B1","B2","B3","B4","B5","B6","B7","B8","B8A","id","organization","region","local","lat","long","date","chla","tss","secchi","acdom440","local_year_month"
"1","Acai_04_2014_Ponto_01",0.00539612194058037,0.00798013639006208,0.0135871064101358,0.01547045588092,0.0129939983130526,0.00515556997100216,0.00495194256840132,0.00419207830339196,0.00304870830054643,"40","LabISA-INPE","AMZ","Acai",-1.9452,-55.5937,2014-04-12,2.75,16,0.6,NA,"Acai_2014_04"
"2","Acai_04_2014_Ponto_02",0.00468045203506765,0.00705731494392242,0.0122744459286563,0.0145347467576025,0.0125009383018788,0.00441316378281004,0.00411553879729217,0.00331402164081513,0.00200091327343323,"40","LabISA-INPE","AMZ","Acai",-1.948,-55.5834,2014-04-12,3.47,14,0.6,NA,"Acai_2014_04"
"3","Acai_04_2014_Ponto_03",0.00662002873638278,0.00918712500696185,0.0151497258780706,0.017786595738436,0.0152286522153887,0.00600560018582627,0.00566063902677295,0.00484021291160267,0.00344904898755729,"40","LabISA-INPE","AMZ","Acai",-1.9497,-55.5723,2014-04-12,2.39,11.75,0.6,NA,"Acai_2014_04"
"7","AGID_1000",0.00740606149128293,0.011908790804655,0.020917704392812,0.0208225644061246,0.0201224212746691,0.00718986026826712,0.00715126839126934,0.00591321469270075,0.00372406577839731,"AGID_1000","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.88906,117.483,2009-08-20,18.7,132,0.15,NA,"Nechad_Matchups_North_Sea_2009_08"
"8","AGID_1001",0.00816380739878656,0.0135833371259398,0.0234502864399956,0.0250337351258498,0.023491038326828,0.00919986698203711,0.00913115290067193,0.00756605130810537,0.00473799256388705,"AGID_1001","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.83303,117.521,2009-08-25,6.3,52,0.2,NA,"Nechad_Matchups_North_Sea_2009_08"
"9","AGID_1002",0.0093412132580236,0.0146517532858042,0.0243379158510462,0.0226577916092658,0.0194142889004963,0.00614628403684471,0.00605606080723519,0.00490263258683131,0.0030701732048549,"AGID_1002","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.82403,117.511,2009-08-25,7.5,90,0.3,NA,"Nechad_Matchups_North_Sea_2009_08"
"10","AGID_1003",0.00701922043342599,0.0123290664750476,0.0222163503382625,0.0210441160440525,0.0181089793511052,0.00481505213098391,0.00457238661182827,0.00377191570834262,0.00221487923383548,"AGID_1003","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.81375,117.498,2009-08-25,9.6,92,0.3,NA,"Nechad_Matchups_North_Sea_2009_08"
"11","AGID_1004",0.00707450213006079,0.0124995186900391,0.0224865605012761,0.0216209153821828,0.0181869420509281,0.00470434235974899,0.00459496023501439,0.00374546624794117,0.00217265384964252,"AGID_1004","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.80692,117.488,2009-08-25,6.7,32,0.25,NA,"Nechad_Matchups_North_Sea_2009_08"
"12","AGID_1005",0.00636364525653241,0.0114390001366748,0.0210288783385648,0.019039315652357,0.0154476373083606,0.00369052365064757,0.00344015576147444,0.00277014713353953,0.00152687406010771,"AGID_1005","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.79433,117.468,2009-08-25,5.8,22,0.3,NA,"Nechad_Matchups_North_Sea_2009_08"
"13","AGID_1006",0.00659003308491759,0.0119174599926548,0.0219929570063781,0.0208895672978864,0.0168094415245707,0.00368279842571627,0.00337507611583385,0.00283436481767424,0.00154802580637296,"AGID_1006","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.78597,117.451,2009-08-25,3.2,18,0.5,NA,"Nechad_Matchups_North_Sea_2009_08"
"14","AGID_1007",0.0090122535017904,0.015515768541309,0.0296264381116541,0.0344994969480462,0.0295658587167679,0.00983693963668033,0.00956366948797932,0.00789435475366272,0.00491863554341904,"AGID_1007","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.74111,117.399,2009-08-25,5,38,0.15,NA,"Nechad_Matchups_North_Sea_2009_08"
