"","V1","station_id","B1","B2","B3","B4","B5","id","organization","region","local","lat","long","date","chla","tss","secchi","acdom440","local_year_month"
"1",1,"Acai_04_2014_Ponto_01",0.00544244544886409,0.0073776650236371,0.013695703504549,0.0156613114753593,0.00304063289520755,"40","LabISA-INPE","AMZ","Acai",-1.9452,-55.5937,2014-04-12,2.75,16,0.6,NA,"Acai_2014_04"
"2",2,"Acai_04_2014_Ponto_02",0.00472410520342135,0.00650220375807627,0.012419880375022,0.0146699278745843,0.00199442605637226,"40","LabISA-INPE","AMZ","Acai",-1.948,-55.5834,2014-04-12,3.47,14,0.6,NA,"Acai_2014_04"
"3",3,"Acai_04_2014_Ponto_03",0.00666352666461372,0.00855623603091864,0.0152935947650797,0.0179410827333581,0.00343871988159391,"40","LabISA-INPE","AMZ","Acai",-1.9497,-55.5723,2014-04-12,2.39,11.75,0.6,NA,"Acai_2014_04"
"4",3689,"Aranamai_07_2016_Ponto_01",0.00637398986503271,0.00843521928536022,0.0156922064982178,0.0183494471161945,0.0027558581168674,"27","LabISA-INPE","AMZ","Aranamai",-2.25108,-54.6867,2016-07-18,11.61,21.571,0.56,2.4326,"Aranamai_2016_07"
"5",3690,"Aranamai_07_2016_Ponto_02",0.00699348752914779,0.00906772741915395,0.0168548984634156,0.0204134929907786,0.00318567198425716,"27","LabISA-INPE","AMZ","Aranamai",-2.21701,-54.6602,2016-07-18,11.475,20.3,0.42,2.66877,"Aranamai_2016_07"
"6",3691,"Arapiuns_08_2021_Ponto_01",0.00222072594418885,0.0025314291930991,0.00371596741376728,0.00246152023944054,0.000189114816842463,"146","LabISA-INPE","AMZ","Arapiuns",-2.298028,-55.02086,2021-09-09,6.64,2.3,2.6,NA,"Arapiuns_2021_09"
"7",3692,"Arapiuns_08_2021_Ponto_02",0.00189480740851002,0.00217337396735454,0.00324155147644788,0.00218059740269747,0.000199727707925537,"146","LabISA-INPE","AMZ","Arapiuns",-2.307813,-55.06762,2021-09-09,6.49,1.1,2.58,NA,"Arapiuns_2021_09"
"8",3693,"Arapiuns_08_2021_Ponto_03",0.00194818600976338,0.00218899756639143,0.00322852121725933,0.00212509374282576,0.000144906083801114,"146","LabISA-INPE","AMZ","Arapiuns",-2.345434,-55.10521,2021-09-09,4.94,1.2,2.5,NA,"Arapiuns_2021_09"
"9",3697,"ARTAAM_08_2021_Ponto_01",0.00646468098374599,0.00837484592029965,0.0152263927528896,0.0173262532616619,0.00252449190803112,"146","LabISA-INPE","AMZ","Arapiuns",-2.354587,-54.91198,2021-09-10,4.19,11,0.71,NA,"Arapiuns_2021_09"
"10",4032,"Branco_08_2019_Ponto_01",0.00596268792547776,0.00657566509485433,0.00972255411646692,0.00767056905498849,0.00227815606842337,"63","LabISA-INPE","AMZ","Branco",-4.722,-66.68,2019-08-20,NA,NA,1.03,NA,"Branco_2019_08"
"11",4033,"Branco_08_2019_Ponto_02",0.00510317246148708,0.00572952470582485,0.00868349696001734,0.00664615575938576,0.00187926337984486,"63","LabISA-INPE","AMZ","Branco",-4.725,-66.68,2019-08-20,NA,NA,0.96,NA,"Branco_2019_08"
"12",4034,"Branco_08_2019_Ponto_03",0.00492402169788543,0.00566951943986598,0.00894328714834031,0.00692567310591881,0.00214058716475842,"63","LabISA-INPE","AMZ","Branco",-4.727,-66.68,2019-08-20,NA,NA,0.27,NA,"Branco_2019_08"
"13",4035,"BuaBua_07_2015_Ponto_01",0.00317459101956002,0.00442588172473517,0.00758768294290274,0.00685511331253241,0.000579353718617958,"88","LabISA-INPE","AMZ","BuaBua",-2.88411,-64.9763,2015-07-10,0.30455,2.3,1.82,1.25,"BuaBua_2015_07"
"14",4036,"BuaBua_07_2015_Ponto_02",0.00450726981263149,0.00518308033305051,0.00735109652026107,0.00620892448944471,0.000911286782566132,"88","LabISA-INPE","AMZ","BuaBua",-2.89961,-64.9853,2015-07-10,0.37,1.6,1.9,1.37,"BuaBua_2015_07"
"15",4037,"BuaBua_07_2015_Ponto_03",0.00407166014647298,0.00491641478756358,0.00743463578649272,0.00640154774589605,0.000678336749582806,"88","LabISA-INPE","AMZ","BuaBua",-2.90084,-64.975,2015-07-10,0.593167,4.9,1.85,1.33,"BuaBua_2015_07"
"16",4038,"BuaBua_07_2016_Ponto_01",0.00318271927517231,0.00352072432763253,0.00475729184139275,0.00443447312597273,0.000775179625513781,"92","LabISA-INPE","AMZ","BuaBua",-2.88453,-64.9766,2016-08-01,6.41,6.7145,1.6,2.99,"BuaBua_2016_08"
"17",4039,"BuaBua_07_2016_Ponto_01_R",0.0015747469989963,0.00178692699330962,0.00267649125231418,0.00223749699666675,0.000320036638672757,"92","LabISA-INPE","AMZ","BuaBua",-2.88467,-64.9762,2016-08-13,19.325,5,1.6,2.39,"BuaBua_2016_08"
"18",4040,"BuaBua_07_2016_Ponto_02",0.00233548622602266,0.00261026137761048,0.00355041967822328,0.00311585471740892,0.000126775686377945,"92","LabISA-INPE","AMZ","BuaBua",-2.90015,-64.986,2016-08-01,2.66,5.5715,1.9,2.83,"BuaBua_2016_08"
"19",4041,"BuaBua_07_2016_Ponto_02_R",0.00204812322136467,0.0021701191397321,0.0029708488641476,0.00271011637854363,0.000515210861704822,"92","LabISA-INPE","AMZ","BuaBua",-2.89962,-64.986,2016-08-13,12.87,3.4285,1.5,2.34,"BuaBua_2016_08"
"20",4042,"BuaBua_07_2016_Ponto_03",0.00197404637439435,0.00242410481843896,0.00380352042161465,0.00361555477492909,0.000325302820996388,"92","LabISA-INPE","AMZ","BuaBua",-2.90153,-64.9751,2016-07-30,4.745,12.713,1.7,3.2,"BuaBua_2016_07"
"21",4043,"BuaBua_07_2016_Ponto_03_R",0.00153708089232186,0.00169797895031266,0.00243565795484567,0.00212690119964804,0.000301402170593057,"92","LabISA-INPE","AMZ","BuaBua",-2.90046,-64.9744,2016-08-13,8.09,3.714,1.7,2.31,"BuaBua_2016_08"
"22",4044,"BuaBua_07_2016_Ponto_04",0.00272411845391178,0.00299345313455889,0.00405309446280065,0.00343264166782546,5.56354757758568e-05,"92","LabISA-INPE","AMZ","BuaBua",-2.89226,-64.9801,2016-08-01,3.625,5.714,2,3.06,"BuaBua_2016_08"
"23",4045,"BuaBua_07_2016_Ponto_04_R",0.00204432737766975,0.00227965150937707,0.00323993946999021,0.00282376154680841,0.000409184700159814,"92","LabISA-INPE","AMZ","BuaBua",-2.8924,-64.9806,2016-08-17,10.63,4,1.8,2.93,"BuaBua_2016_08"
"24",4046,"BuaBua_07_2016_Ponto_05",0.00195077920389485,0.00222337944501082,0.00317971216286344,0.00287611638263191,0.00026985577526194,"92","LabISA-INPE","AMZ","BuaBua",-2.89609,-64.9777,2016-07-30,2.35,4.857,1.8,2.8,"BuaBua_2016_07"
"25",4047,"BuaBua_07_2016_Ponto_05_R",0.00172720991042504,0.00193888365468759,0.00285155143076383,0.00244588441441282,0.000336781499487257,"92","LabISA-INPE","AMZ","BuaBua",-2.8959,-64.9779,2016-08-17,5.51,4.5555,2,2.77,"BuaBua_2016_08"
"26",4048,"BuaBua_07_2016_Ponto_06",0.00228868813223342,0.00254516265904914,0.00358310888652735,0.00320152640204671,-6.15437927640591e-05,"92","LabISA-INPE","AMZ","BuaBua",-2.88943,-64.976,2016-07-30,8.995,5.143,1.6,3.16,"BuaBua_2016_07"
"27",4049,"BuaBua_07_2016_Ponto_06_R",0.00171974551500334,0.00190715942176831,0.00275522481093669,0.00242628404812108,0.000331983539103357,"92","LabISA-INPE","AMZ","BuaBua",-2.8899,-64.9756,2016-08-17,11.825,4.3335,1.9,NA,"BuaBua_2016_08"
"28",4050,"Cerrado_08_2019_Ponto_01",0.00869426920672372,0.0106426650762099,0.0181226640611326,0.0173994227825571,0.00458767547799495,"64","LabISA-INPE","AMZ","Cerrado",-4.729,-66.7,2019-08-17,NA,NA,0.23,NA,"Cerrado_2019_08"
"29",4051,"Cerrado_08_2019_Ponto_02",0.00725566479529972,0.00817414043636489,0.0128926451071028,0.0119897141922293,0.00386172939726936,"64","LabISA-INPE","AMZ","Cerrado",-4.739,-66.7,2019-08-17,NA,NA,0.28,NA,"Cerrado_2019_08"
"30",4052,"Cerrado_08_2019_Ponto_03",0.010701839857812,0.0118252164342084,0.0187626410751348,0.0181576040619113,0.0027779670287644,"64","LabISA-INPE","AMZ","Cerrado",-4.748,-66.7,2019-08-17,NA,NA,1.88,NA,"Cerrado_2019_08"
"31",4053,"Cerrado_08_2019_Ponto_04",0.00623625516490872,0.00669775406723573,0.00863650868750616,0.00809972495198825,0.00617484635982623,"64","LabISA-INPE","AMZ","Cerrado",-4.752,-66.71,2019-08-17,NA,NA,1.8,NA,"Cerrado_2019_08"
"32",4054,"Concordia_08_2019_Ponto_01",0.00644907677993619,0.00782680306333415,0.0128820126856498,0.00997323583116508,0.00410582181663424,"62","LabISA-INPE","AMZ","Concordia",-4.567,-66.63,2019-08-19,NA,NA,0.87,NA,"Concordia_2019_08"
"33",4055,"Concordia_08_2019_Ponto_02",0.00513963016857337,0.00569791160934254,0.00854153784194822,0.00585626374085609,0.00219724322338946,"62","LabISA-INPE","AMZ","Concordia",-4.571,-66.63,2019-08-19,NA,NA,0.82,NA,"Concordia_2019_08"
"34",4056,"Concordia_08_2019_Ponto_03",0.00223340826150998,0.00242189810830722,0.0035923775223229,0.00224298571990407,0.00051052989911768,"62","LabISA-INPE","AMZ","Concordia",-4.575,-66.63,2019-08-19,NA,NA,0.88,NA,"Concordia_2019_08"
"35",4057,"Concordia_08_2019_Ponto_04",0.00285389932055314,0.00352115434711329,0.00631468881275097,0.00440543954074999,0.00127409223358524,"62","LabISA-INPE","AMZ","Concordia",-4.579,-66.63,2019-08-19,NA,NA,1.01,NA,"Concordia_2019_08"
"36",4058,"Curape_08_2019_Ponto_01",0.0208889873620622,0.0262613899694684,0.0442207118989689,0.0464000001434161,0.0131896190176636,"61","LabISA-INPE","AMZ","Curape",-4.715,-66.79,2019-08-18,NA,NA,1.55,NA,"Curape_2019_08"
"37",4059,"Curape_08_2019_Ponto_02",0.020988964965712,0.025839558984632,0.0435682180885816,0.0467470805412131,0.0129964986829389,"61","LabISA-INPE","AMZ","Curape",-4.712,-66.78,2019-08-18,NA,NA,0.48,NA,"Curape_2019_08"
