"","station_id","B1","B2","B3","B4","B5","B6","B7","B8","B8A","id","organization","region","local","lat","long","date","chla","tss","secchi","acdom440","local_year_month"
"1","Acai_04_2014_Ponto_01",0.00542194426057549,0.0136662956594452,0.0154894795964734,0.0129361560260295,0.00504721426412827,0.00501658390505115,0.00420806352337017,0.00303860416414418,0.00303860416414418,"40","LabISA-INPE","AMZ","Acai",-1.9452,-55.5937,"2014-04-12",2.75,16,0.6,NA,"Acai_2014_04"
"2","Acai_04_2014_Ponto_02",0.004703608564389,0.0123499684312216,0.0145549532457527,0.0124441702296994,0.00427799962812354,0.00418249460167845,0.00333181762126363,0.0019880932062319,0.0019880932062319,"40","LabISA-INPE","AMZ","Acai",-1.948,-55.5834,"2014-04-12",3.47,14,0.6,NA,"Acai_2014_04"
"3","Acai_04_2014_Ponto_03",0.00664288457300656,0.0152384791702571,0.017804822960423,0.0151649506923779,0.00584887842458217,0.00573307819241244,0.00485919268192274,0.00343671530221148,0.00343671530221148,"40","LabISA-INPE","AMZ","Acai",-1.9497,-55.5723,"2014-04-12",2.39,11.75,0.6,NA,"Acai_2014_04"
"4","Aranamai_07_2016_Ponto_01",0.00635957499493889,0.015650517478691,0.0179936345937806,0.0164706763577933,0.00563918954255969,0.00559190609434615,0.00438901876038623,0.00275619990144817,0.00275619990144817,"27","LabISA-INPE","AMZ","Aranamai",-2.25108,-54.6867,"2016-07-18",11.61,21.571,0.56,2.4326,"Aranamai_2016_07"
"5","Aranamai_07_2016_Ponto_02",0.0069791021823972,0.0168021858504015,0.0201339746655085,0.0190754276515732,0.00664968408621966,0.00675652217418666,0.00523467630297648,0.00318931096417656,0.00318931096417656,"27","LabISA-INPE","AMZ","Aranamai",-2.21701,-54.6602,"2016-07-18",11.475,20.3,0.42,2.66877,"Aranamai_2016_07"
"6","Arapiuns_08_2021_Ponto_01",0.00222113697834834,0.00378175695431817,0.0022768328977238,0.00155801213753518,0.00041671747700362,0.000374235682308951,0.000282393795534415,0.000189046625484596,0.000189046625484596,"146","LabISA-INPE","AMZ","Arapiuns",-2.298028,-55.02086,"2021-09-09",6.64,2.3,2.6,NA,"Arapiuns_2021_09"
"7","Arapiuns_08_2021_Ponto_02",0.00189539393895575,0.00329758508500765,0.00202282850247604,0.00140926264313096,0.000421857530865986,0.000383724312479604,0.000291599933954872,0.000199761768575063,0.000199761768575063,"146","LabISA-INPE","AMZ","Arapiuns",-2.307813,-55.06762,"2021-09-09",6.49,1.1,2.58,NA,"Arapiuns_2021_09"
"8","Arapiuns_08_2021_Ponto_03",0.00194925907817865,0.00328567748940307,0.0019628622444235,0.00133384188794588,0.00032782918648062,0.000293398213766068,0.000216383113998175,0.000144813558420618,0.000144813558420618,"146","LabISA-INPE","AMZ","Arapiuns",-2.345434,-55.10521,"2021-09-09",4.94,1.2,2.5,NA,"Arapiuns_2021_09"
"9","ARTAAM_08_2021_Ponto_01",0.00645309909498271,0.0151849207879484,0.0169477806752534,0.0139324682177626,0.00465687620759369,0.00467691309445058,0.00376684305318281,0.00252639729676973,0.00252639729676973,"146","LabISA-INPE","AMZ","Arapiuns",-2.354587,-54.91198,"2021-09-10",4.19,11,0.71,NA,"Arapiuns_2021_09"
"10","Branco_08_2019_Ponto_01",0.00596946141312314,0.00983627577664528,0.00720867094544872,0.00575150183646479,0.00284043345588354,0.00295332899694747,0.0025269667571206,0.00227650424644095,0.00227650424644095,"63","LabISA-INPE","AMZ","Branco",-4.722,-66.68,"2019-08-20",NA,NA,1.03,NA,"Branco_2019_08"
"11","Branco_08_2019_Ponto_02",0.00512024425072854,0.00879723695710173,0.00621358575225721,0.00497175814768062,0.00244220617503719,0.00247604422839473,0.00216175688074562,0.00184338287380067,0.00184338287380067,"63","LabISA-INPE","AMZ","Branco",-4.725,-66.68,"2019-08-20",NA,NA,0.96,NA,"Branco_2019_08"
"12","Branco_08_2019_Ponto_03",0.00492049229905324,0.00906313112080881,0.00648624822481789,0.00530520034020534,0.00265112423378171,0.00270284288951474,0.00237536465932307,0.00214786718943791,0.00214786718943791,"63","LabISA-INPE","AMZ","Branco",-4.727,-66.68,"2019-08-20",NA,NA,0.27,NA,"Branco_2019_08"
"13","BuaBua_07_2015_Ponto_01",0.00316399757038074,0.00762203798830085,0.00660774218004436,0.00464669872398703,0.00129689340808177,0.00122282751143518,0.000953325679928602,0.000578918846010895,0.000578918846010895,"88","LabISA-INPE","AMZ","BuaBua",-2.88411,-64.9763,"2015-07-10",0.30455,2.3,1.82,1.25,"BuaBua_2015_07"
"14","BuaBua_07_2015_Ponto_02",0.00450458788453242,0.00739564366802282,0.00595591302495417,0.00424694127687009,0.00153834023616445,0.00146685235032904,0.00119549599715364,0.000911015675165129,0.000911015675165129,"88","LabISA-INPE","AMZ","BuaBua",-2.89961,-64.9853,"2015-07-10",0.37,1.6,1.9,1.37,"BuaBua_2015_07"
"15","BuaBua_07_2015_Ponto_03",0.00406504803061537,0.00747519703561623,0.00615589435109067,0.00432647391944692,0.00135847598143785,0.0012786340148279,0.000996293450157985,0.000678663107097505,0.000678663107097505,"88","LabISA-INPE","AMZ","BuaBua",-2.90084,-64.975,"2015-07-10",0.593167,4.9,1.85,1.33,"BuaBua_2015_07"
