local_year_month,Unnamed: 0,station_id,V1,B1,B2,B3,B4,id,organization,region,local,lat,long,date,chla,tss,secchi,acdom440,OWT,predicted
Vietnam2_2017_04,95,AGID_2158,1292,0.0045987818331944,0.0123562020765533,0.0081765178376634,0.0034201259098666,AGID_2158,NAN,Vietnam,Vietnam2,20.968258,105.832333,2017-04-01,91.2,,0.260276721,,,0.27514315
Vietnam2_2017_04,96,AGID_2159,1293,0.0080749168554401,0.0224492334505244,0.0164201897784488,0.0097597309467965,AGID_2159,NAN,Vietnam,Vietnam2,20.968258,105.832333,2017-04-01,101.3,,0.258246023,,,0.3400132
Vietnam2_2017_04,97,AGID_2160,1295,0.004780652812407,0.0113504097326865,0.0076615068853384,0.0065673397359047,AGID_2160,NAN,Vietnam,Vietnam2,20.968258,105.832333,2017-04-01,30.3,,0.216914748,,,0.27536216
Vietnam2_2017_04,98,AGID_2161,1296,0.0049217900900244,0.0125530666778038,0.0077683573064913,0.0070314072518236,AGID_2161,NAN,Vietnam,Vietnam2,20.968258,105.832333,2017-04-01,30.4,,0.252416974,,,0.2696371
Vietnam2_2017_04,99,AGID_2162,1297,0.0036433084900006,0.009565011018789,0.0064186684032777,0.0062393519532223,AGID_2162,NAN,Vietnam,Vietnam2,20.968258,105.832333,2017-04-01,30.9,,0.246,,,0.26892048
Vietnam2_2017_04,100,AGID_2163,1298,0.0054727477885096,0.0116998132526918,0.0094879016166304,0.0031040190062269,AGID_2163,NAN,Vietnam,Vietnam2,20.968258,105.832333,2017-04-01,50.4,,0.53421632,,,0.76160866
Vietnam2_2017_04,101,AGID_2164,1299,0.0046118081777424,0.0103353966021071,0.0080323457585439,0.0026722914378948,AGID_2164,NAN,Vietnam,Vietnam2,20.968258,105.832333,2017-04-01,51.0,,0.530094201,,,0.80845565
Vietnam2_2017_04,102,AGID_2165,1300,0.0087166432347032,0.0231883409485516,0.0166180379149499,0.0102556788928484,AGID_2165,NAN,Vietnam,Vietnam2,20.968258,105.832333,2017-04-01,89.4,,0.28764,,,0.33852103
Vietnam2_2017_04,103,AGID_2166,1301,0.0082661129866079,0.0195125491409296,0.017467796679991,0.007406896395698,AGID_2166,NAN,Vietnam,Vietnam2,20.968258,105.832333,2017-04-01,59.7,,0.43655004,,,0.31914186
Vietnam2_2017_04,104,AGID_2167,1302,0.0073994398754836,0.016628579811869,0.0134875825512319,0.0053243871885206,AGID_2167,NAN,Vietnam,Vietnam2,20.968258,105.832333,2017-04-01,64.9,,0.335985592,,,0.30641374
Vietnam2_2017_04,105,AGID_2168,1303,0.009366224845158,0.0159988529612375,0.0121827349544296,0.0048651593354335,AGID_2168,NAN,Vietnam,Vietnam2,20.968258,105.832333,2017-04-01,82.1,,0.283266003,,,0.43826914
Vietnam2_2017_04,106,AGID_2169,1304,0.0047203449688411,0.0101625987242383,0.0078454470407545,0.0026882843456433,AGID_2169,NAN,Vietnam,Vietnam2,20.968258,105.832333,2017-04-01,51.7,,0.38264927,,,0.84349215
Vietnam2_2017_04,107,AGID_2170,1306,0.0067294970307124,0.013366702392911,0.0095286891222036,0.0038343150221135,AGID_2170,NAN,Vietnam,Vietnam2,20.968258,105.832333,2017-04-01,106.3,,0.286054745,,,0.29909128
WLE_2014_08,184,AGID_2250,1395,0.0122087929456282,0.021148631474756,0.0152974218680997,0.0040979155780622,AGID_2250,NAN,US,WLE,41.76315,-83.33741667,2014-08-18,42.28,,0.6,0.34874,4.0,0.5429181
WLE_2014_08,185,AGID_2251,1396,0.0139606635868103,0.028916936324499,0.0252411593523,0.0071156651356742,AGID_2251,NAN,US,WLE,41.71076667,-83.38035,2014-08-18,55.07,,0.4,0.59894,5.0,0.26408368
WLE_2014_08,186,AGID_2252,1397,0.0178396894184126,0.0288430648779081,0.0241541893551428,0.0064573778109939,AGID_2252,NAN,US,WLE,41.70406667,-83.25981667,2014-08-18,31.73,,0.5,0.41707,4.0,0.23540762
WLE_2014_08,187,AGID_2253,1398,0.0093249446380572,0.0116320973460181,0.004854810959637,0.0007674273978858,AGID_2253,NAN,US,WLE,41.7428,-83.13926667,2014-08-18,6.21,,2.0,0.07815,3.0,2.635129
WLE_2014_08,188,AGID_2254,1399,0.0066619067964406,0.0078527086893541,0.0030815460210413,0.0003502230274731,AGID_2254,NAN,US,WLE,41.82646667,-83.1948,2014-08-18,6.87,,2.1,0.09211,3.0,3.6640768
WLE_2014_08,189,AGID_2255,1400,0.0136800741238319,0.022747444014656,0.0163495688829205,0.0043941726266383,AGID_2255,NAN,US,WLE,41.83406667,-83.36355,2014-08-18,43.97,,0.8,0.31983,4.0,0.47802585
WLE_2014_08,190,AGID_2256,1401,0.0128177011345456,0.0143873509529602,0.0061777220507761,0.0009203409597789,AGID_2256,NAN,US,WLE,41.91401667,-83.1112,2014-08-19,4.71,3.785,2.5,0.06201,3.0,2.3445923
WLE_2014_08,191,AGID_2257,1402,0.0068890839946431,0.0081536217839855,0.0029340288960398,0.0001886365583575,AGID_2257,NAN,US,WLE,41.93625,-83.21485,2014-08-19,4.81,2.4429,3.7,0.09695,3.0,4.111944
WLE_2014_08,192,AGID_2258,1403,0.0149844774554788,0.0161986266680026,0.0060356394354304,0.0007609290365637,AGID_2258,NAN,US,WLE,41.94935,-83.16215,2014-08-19,2.0,2.9611,2.8,0.06945,3.0,2.8160048
WLE_2014_08,193,AGID_2259,1404,0.0167198123668978,0.0171865388229482,0.0064258897629264,0.000664998197289,AGID_2259,NAN,US,WLE,41.99605,-83.13085,2014-08-19,1.54,3.705,3.0,0.07443,3.0,3.0351605
WLE_2014_08,194,AGID_2260,1406,0.0125968672693292,0.0187498302746876,0.0114880139657327,0.0019813570396917,AGID_2260,NAN,US,WLE,41.71866667,-82.8758,2014-08-20,22.03,7.4,1.25,0.15848,2.0,1.3769538
WLE_2014_08,195,AGID_2261,1407,0.0081483349213737,0.0119988335447866,0.0056322829518284,0.000915632094773,AGID_2261,NAN,US,WLE,41.66916667,-82.74773333,2014-08-20,17.45,3.8333,2.5,0.14541,3.0,2.4687433
WLE_2014_08,196,AGID_2262,1408,0.0087093111350366,0.0130397565405951,0.0067826105487673,0.0009926665544766,AGID_2262,NAN,US,WLE,41.581,-82.72868333,2014-08-20,22.66,5.1222,2.0,0.17637,3.0,2.147166
WLE_2014_08,197,AGID_2263,1409,0.0065578664725314,0.008611424714569,0.0039696488953633,0.0005902440794936,AGID_2263,NAN,US,WLE,41.54523333,-82.51765,2014-08-20,7.75,2.6778,2.5,0.13265,3.0,2.8619666
WLE_2014_08,198,AGID_2264,1410,0.0097153866621629,0.0152918060880227,0.0083357182474933,0.0014898092259766,AGID_2264,NAN,US,WLE,41.58925,-82.88436667,2014-08-20,19.89,6.5833,1.5,0.19523,2.0,1.8123081
WLE_2014_08,199,AGID_2266,1412,0.0057224398577465,0.0070870428428883,0.0026122526115863,0.0004656288112084,AGID_2266,NAN,US,WLE,41.82833333,-83.19885,2014-08-21,5.83,1.8333,4.2,0.10999,3.0,4.246247
WLE_2014_08,200,AGID_2267,1413,0.0133111168818523,0.0221223688174531,0.0147174128621025,0.0041588419626318,AGID_2267,NAN,US,WLE,41.69056667,-82.99378333,2014-08-21,41.09,12.64,1.1,0.23429,4.0,1.0428369
WLE_2014_08,201,AGID_2268,1414,0.0120386057744628,0.0224183292841467,0.0138249025516335,0.0043567959205179,AGID_2268,NAN,US,WLE,41.64308333,-83.03958333,2014-08-21,60.45,18.86,0.9,0.30675,4.0,1.1546841
Europe_NA_NA,202,AGID_2355,1511,0.0029119651969525,0.0080687265814936,0.0065476717624532,0.0050491263428392,AGID_2355,NAN,Europe,Europe,,,,71.75375,19.6,0.7,3.269670832,5.0,0.5117628
Europe_NA_NA,203,AGID_2356,1512,0.0025861577656538,0.0068306970737265,0.0061408546997592,0.0018261805378817,AGID_2356,NAN,Europe,Europe,,,,28.21466667,12.5,0.9,2.670998708,7.0,0.87398005
Europe_NA_NA,204,AGID_2357,1513,0.0021896827588387,0.0050667552476835,0.0045942462334358,0.0010585432458113,AGID_2357,NAN,Europe,Europe,,,,14.98027778,9.142857143,1.35,2.348636795,5.0,1.0721169
Europe_NA_NA,205,AGID_2358,1514,0.0022375969459853,0.0047044909400042,0.003580245336871,0.0006518494516873,AGID_2358,NAN,Europe,Europe,,,,13.59363889,7.142857143,1.6,1.381551056,4.0,1.4991233
Europe_NA_NA,206,AGID_2359,1515,0.0017145382680346,0.0037954396632337,0.0047681244776314,0.0012411063271688,AGID_2359,NAN,Europe,Europe,,,,22.04775,9.666666667,0.65,4.605170186,7.0,0.80506814
Europe_NA_NA,207,AGID_2360,1517,0.0018035978130914,0.0038958372384816,0.0029227102135059,0.0004627333275573,AGID_2360,NAN,Europe,Europe,,,,9.53525,4.333333333,1.7,1.565757863,4.0,1.5503557
Europe_NA_NA,208,AGID_2361,1518,0.0016874148137759,0.0034239240630459,0.0031182820382533,0.0006434650067065,AGID_2361,NAN,Europe,Europe,,,,,,1.15,,4.0,1.5707028
Europe_NA_NA,209,AGID_2362,1519,0.0019076201779209,0.0038737993742938,0.0034460772622207,0.0011533730258139,AGID_2362,NAN,Europe,Europe,,,,19.2495,4.222222222,1.7,2.118378286,5.0,1.4648869
Europe_NA_NA,210,AGID_2363,1520,0.0009933183533123,0.0012162849533645,0.00139723430466,0.0006851735119891,AGID_2363,NAN,Europe,Europe,,,,27.32722222,4.333333333,0.8,9.993219304,7.0,1.4169769
Europe_NA_NA,211,AGID_2364,1521,0.0004704778644128,0.000827681598991,0.0011344388241241,0.000395801916439,AGID_2364,NAN,Europe,Europe,,,,21.24,5.0,0.8,13.81551056,7.0,1.3006781
Europe_NA_NA,212,AGID_2365,1522,0.0026450476475061,0.005686463679931,0.0035665705496004,0.0007302945908565,AGID_2365,NAN,Europe,Europe,,,,15.21925,4.166666667,1.7,1.289447652,4.0,2.2317982
Europe_NA_NA,213,AGID_2366,1523,0.0017118056805249,0.0031794717166203,0.0016559758706393,0.0002169694461943,AGID_2366,NAN,Europe,Europe,,,,9.2995,2.666666667,3.0,0.690775528,2.0,3.7968967
Europe_NA_NA,214,AGID_2367,1524,0.001528871767246,0.00251009752619,0.0017340902294515,0.0002838127270675,AGID_2367,NAN,Europe,Europe,,,,5.535875,2.125,3.0,1.151292546,4.0,3.8606791
Europe_NA_NA,215,AGID_2368,1525,0.000533399665377,0.000684564687765,0.0007134944214945,0.0001879693871649,AGID_2368,NAN,Europe,Europe,,,,8.847583333,1.313868613,2.0,5.295945714,4.0,1.8283416
Europe_NA_NA,216,AGID_2369,1526,0.0007593473799178,0.0016087809939281,0.0010742514096483,0.0001900772210858,AGID_2369,NAN,Europe,Europe,,,,3.7963,1.083333333,4.1,1.105240845,4.0,3.7848547
Europe_NA_NA,217,AGID_2370,1528,0.0012764407034402,0.0031923902671378,0.0039137848543604,0.0010003318116723,AGID_2370,NAN,Europe,Europe,,,,,,1.0,4.835428695,7.0,0.9137451
Europe_NA_NA,218,AGID_2371,1529,0.0011759978959883,0.0029936253110877,0.0036712011227068,0.0010227251681773,AGID_2371,NAN,Europe,Europe,,,,,,0.8,4.973583801,7.0,0.95159787
