"","V1","X1.K","BIAS_perc","MAPE","MAE","R","N","E","RMSLE","slope","Sensor"
"1","MDN","1.06 ± 0.12","3.12 ± 8.71","47.44 ± 13.36","1.29 ± 0.04","0.85 ± 0.19","1697.4 ± 348.47","29.44 ± 3.77","0.24 ± 0.03","0.86 ± 0.07","MDN 01TM"
"2","MDN","1.04 ± 0.11","2.1 ± 7.64","45.82 ± 12.25","1.29 ± 0.03","0.85 ± 0.16","1707.65 ± 344.1","29.06 ± 3.37","0.24 ± 0.04","0.85 ± 0.08","MDN 02ETM"
"3","MDN","1.06 ± 0.11","3.56 ± 8.45","51.32 ± 24.23","1.29 ± 0.04","0.82 ± 0.26","1606.15 ± 311.77","29.41 ± 3.78","0.24 ± 0.03","0.87 ± 0.06","MDN 03OLI"
"4","QAA_RGB","1.37 ± 0.14","28.72 ± 12.63","89.61 ± 27.42","1.46 ± 0.07","0.89 ± 0.01","1697.64 ± 349.12","46.02 ± 7.29","0.3 ± 0.01","0.69 ± 0.06","QAA_RGB 01TM"
"5","QAA_RGB","1.24 ± 0.13","16.02 ± 10.78","77.35 ± 24.46","1.42 ± 0.07","0.89 ± 0.02","1708 ± 344.89","41.94 ± 6.53","0.29 ± 0.01","0.71 ± 0.07","QAA_RGB 02ETM"
"6","QAA_RGB","1.31 ± 0.14","22.41 ± 11.74","81.89 ± 26.25","1.42 ± 0.07","0.9 ± 0.01","1698.06 ± 349.26","42.03 ± 7.16","0.29 ± 0.01","0.71 ± 0.07","QAA_RGB 03OLI"
"7","QAA_YIN","2.41 ± 0.25","135.26 ± 18.77","282.38 ± 76.18","2.45 ± 0.18","0.32 ± 0.12","1367.74 ± 187.78","144.58 ± 18.02","0.63 ± 0.04","0.51 ± 0.08","QAA_YIN 01TM"
"8","QAA_YIN","2.32 ± 0.23","128.65 ± 17.86","264.14 ± 76.09","2.4 ± 0.17","0.38 ± 0.12","1383.33 ± 185.26","140.08 ± 17.43","0.63 ± 0.04","0.51 ± 0.08","QAA_YIN 02ETM"
"9","QAA_YIN","2.59 ± 0.24","161.67 ± 17.6","339.86 ± 111.42","2.73 ± 0.17","0.3 ± 0.19","1381.48 ± 186.98","173.16 ± 16.69","0.7 ± 0.05","0.53 ± 0.08","QAA_YIN 03OLI"
"10","RF","1.08 ± 0.09","2.54 ± 6.6","48.85 ± 13.21","1.29 ± 0.03","0.9 ± 0.03","1698.06 ± 349.26","29.1 ± 3.11","0.24 ± 0.04","0.79 ± 0.05","RF 01TM"
"11","RF","1.08 ± 0.09","2.72 ± 6.8","48.22 ± 12.24","1.29 ± 0.03","0.9 ± 0.03","1708.43 ± 345.02","29.08 ± 2.82","0.24 ± 0.03","0.79 ± 0.04","RF 02ETM"
"12","RF","1.08 ± 0.09","2.74 ± 6.47","46.18 ± 11.97","1.29 ± 0.03","0.9 ± 0.03","1698.06 ± 349.26","28.6 ± 2.79","0.24 ± 0.03","0.79 ± 0.04","RF 03OLI"
"13","SVM","1.04 ± 0.13","0.88 ± 7.31","56.31 ± 20.76","1.31 ± 0.03","0.75 ± 0.18","1697.36 ± 349.16","30.79 ± 3.33","0.33 ± 0.12","0.7 ± 0.06","SVM 01TM"
"14","SVM","1.04 ± 0.13","1.03 ± 7.31","55.96 ± 20.55","1.31 ± 0.03","0.75 ± 0.18","1707.04 ± 344.63","30.7 ± 3.35","0.33 ± 0.12","0.7 ± 0.06","SVM 02ETM"
"15","SVM","1.04 ± 0.12","0.85 ± 7.11","53.49 ± 18.28","1.3 ± 0.03","0.76 ± 0.17","1697.56 ± 349.22","30 ± 3.35","0.32 ± 0.12","0.72 ± 0.06","SVM 03OLI"
"16","XGB","0.99 ± 0.1","-4.23 ± 7.74","46.13 ± 11.64","1.32 ± 0.03","0.86 ± 0.06","1698.04 ± 349.28","31.66 ± 3.23","0.28 ± 0.07","0.76 ± 0.05","XGB 01TM"
"17","XGB","0.99 ± 0.1","-4.5 ± 7.77","45.14 ± 10.14","1.32 ± 0.03","0.86 ± 0.06","1708.35 ± 344.92","31.89 ± 3.15","0.28 ± 0.07","0.77 ± 0.05","XGB 02ETM"
"18","XGB","0.99 ± 0.09","-4.16 ± 7.38","43.65 ± 9.72","1.31 ± 0.03","0.86 ± 0.06","1698.02 ± 349.27","31.21 ± 3.29","0.28 ± 0.08","0.77 ± 0.05","XGB 03OLI"
