,level_0,Unnamed: 0,index,uid,date,time,secchi,lat,lon,Provider,blue,green,red,pan,nir,swir16,swir22,Image_name,predicted
0,0,0,0,Daniel_93200_CB4.4,07/12/09,12:54:00,2.2,38.41457,-76.34565,EOTB,0.009022743,0.00914337,0.004960251,0.00765232,0.002906724,0.000425409,0.000955633,LE07_L1TP_014033_20091207_20160916_01_T1,3.4948110580444336
1,1,1,9,Daniel_85762_ELD01,09/02/16,10:00:00,1.1,36.86556,-76.32899,CHESEAPEK_BAY,0.003278989,0.005712202,0.005065022,0.005864238,0.001786646,-0.000347914,-0.000900588,LE07_L1TP_014034_20160210_20160902_01_T1,1.406317949295044
2,2,2,12,Daniel_18616_CB4.1W,18/10/11,12:40:00,0.8,38.81498,-76.46272,CHESEAPEK_BAY,0.004788457,0.011475225,0.007901548,0.007311619,0.002130011,0.000302873,7.43e-05,LE07_L1TP_015033_20111017_20160912_01_T1,0.3443903923034668
3,3,3,14,Daniel_34885_XJH5342,02/09/09,09:45:00,0.7,39.4209,-76.096,CHESEAPEK_BAY,0.007268962,0.012075577,0.010898314,0.010180499,0.004333048,-0.00017977,-0.000111219,LE07_L1TP_014033_20090902_20160916_01_T1,0.8684751987457275
4,4,4,16,Daniel_117716_CB3.2,22/09/10,08:32:00,1.6,39.16369,-76.30631,EOTB,0.003517614,0.005853885,0.004509062,0.005378438,0.002208136,3.11e-05,-0.000416805,LE07_L1TP_014033_20100921_20160914_01_T1,1.6197292804718018
5,5,5,19,Daniel_116599_CB3.1,17/07/13,09:25:00,0.4,39.2495,-76.2405,EOTB,0.007844186,0.012417416,0.00911888,0.009104182,0.003381614,-0.000620353,-0.000677276,LE07_L1TP_015033_20130718_20160908_01_T1,1.2013349533081055
6,6,6,20,Daniel_16213_CB4.2C,11/09/01,11:13:00,1.9,38.64618,-76.42127,CHESEAPEK_BAY,0.003634471,0.005075163,0.001999114,0.003910004,0.001470462,0.000341776,0.000604037,LE07_L1TP_014033_20010912_20160930_01_T1,4.172396659851074
7,7,7,22,Daniel_117238_CB3.1,16/07/21,09:06:00,0.5,39.2495,-76.2405,EOTB,0.007892201,0.014682451,0.010951866,0.011036962,0.004231219,-0.000755543,-0.000523067,LE07_L1TP_014033_20210717_20210812_01_T1,0.6238906383514404
8,8,8,25,Daniel_76396_EE3.0,08/12/09,15:10:00,0.3,38.28093,-76.01033,CHESEAPEK_BAY,0.012570374,0.017107097,0.016453197,0.014700226,0.007239788,0.001325716,0.002074977,LE07_L1TP_014033_20091207_20160916_01_T1,0.5579261183738708
9,9,9,30,Daniel_16562_CB4.3E,13/04/10,08:49:00,1.6,38.55624,-76.39121,CHESEAPEK_BAY,0.012020816,0.011384376,0.0072397,0.008306416,0.004584019,0.001591944,0.001961671,LE07_L1TP_014033_20100414_20160915_01_T1,2.982957124710083
10,10,10,31,Daniel_116546_CB2.2,29/08/19,07:54:00,1.0,39.34873,-76.17579,EOTB,0.005110299,0.00952476,0.005418257,0.006526707,0.002178465,9.81e-05,-0.000235534,LE07_L1TP_014033_20190829_20190924_01_T1,2.0392985343933105
11,11,11,36,Daniel_49432_LE2.3,13/01/09,09:49:00,1.8,38.0215,-76.3477,CHESEAPEK_BAY,0.007993047,0.009355245,0.005662578,0.006786885,0.002911115,0.000445835,-0.000519785,LE07_L1TP_015033_20090112_20160919_01_T1,3.3709311485290527
12,12,12,39,Daniel_89712_CB4.2C,25/06/19,10:49:00,0.9,38.64618,-76.42127,EOTB,0.003200288,0.005153658,0.002977517,0.004619226,0.001408675,4.04e-05,0.000875871,LE07_L1TP_014033_20190626_20190722_01_T1,2.9359536170959473
13,13,13,41,Daniel_65411_WE4.1,25/06/19,14:55:00,0.9,37.31181,-76.34634,CHESEAPEK_BAY,0.00638833,0.011648883,0.006505373,0.008013465,0.004265304,0.002190267,0.002274247,LE07_L1TP_014034_20190626_20190722_01_T1,2.1496081352233887
14,14,14,45,Daniel_91370_CB4.3C,20/10/15,09:52:00,1.7,38.55505,-76.42794,EOTB,0.005273053,0.005885521,0.003478652,0.004948637,0.002044969,0.000665844,-0.000165018,LE07_L1TP_014033_20151021_20160902_01_T1,4.107601642608643
15,15,15,48,Daniel_71534_LE4.3,11/01/05,07:30:00,2.0,37.23392,-76.43094,CHESEAPEK_BAY,0.007682103,0.010776929,0.006433835,0.008002984,0.003280701,0.000533506,-0.000460188,LE07_L1TP_014034_20050110_20160925_01_T1,2.3615670204162598
16,16,16,49,Daniel_16131_CB4.4,12/06/00,14:04:00,1.1,38.41457,-76.34565,CHESEAPEK_BAY,0.005579305,0.007808182,0.004162598,0.007168355,0.001411001,0.000408455,0.000992247,LE07_L1TP_015033_20000612_20161001_01_T1,2.813685417175293
17,17,17,53,Daniel_65443_LE3.7,09/07/12,18:15:00,1.0,37.53069,-76.30661,CHESEAPEK_BAY,0.007724166,0.010969421,0.006310468,0.009915732,0.005391288,0.003095442,0.003201988,LE07_L1TP_014034_20120708_20160911_01_T1,2.323472261428833
18,18,18,57,Daniel_25337_CB5.1,14/03/05,13:06:00,1.8,38.3187,-76.29215,CHESEAPEK_BAY,0.005675033,0.007347145,0.004070838,0.005446141,0.002602378,0.001099309,0.00055209,LE07_L1TP_014033_20050315_20160925_01_T1,3.0146923065185547
19,19,19,58,Daniel_15347_CB4.1E,21/09/10,13:24:00,1.8,38.81809,-76.37144,CHESEAPEK_BAY,0.004033652,0.005278632,0.003284031,0.004552902,0.002792599,0.000285121,-0.000287422,LE07_L1TP_014033_20100921_20160914_01_T1,3.278538227081299
20,20,20,60,Daniel_81620_TF5.5A,19/05/09,12:25:00,0.5,37.30165,-77.1284,CHESEAPEK_BAY,0.007350624,0.014637624,0.012379305,0.012475497,0.007792863,0.003611831,0.002884179,LE07_L1TP_015034_20090520_20160917_01_T1,0.5582356452941895
21,21,21,66,Daniel_59998_LE3.6,24/06/13,16:47:00,1.1,37.5968,-76.28467,CHESEAPEK_BAY,0.0105262,0.014457423,0.010161699,0.0116903,0.006834467,0.004598795,0.003990983,LE07_L1TP_014034_20130625_20160907_01_T1,1.5310709476470947
22,22,22,67,Daniel_25011_CB2.1,17/09/14,10:52:00,0.6,39.44149,-76.02599,CHESEAPEK_BAY,0.007176356,0.011033232,0.007693701,0.00790184,0.002581883,-0.000816785,-0.000552035,LE07_L1TP_014033_20140916_20160903_01_T1,1.7190210819244385
23,23,23,71,Daniel_24097_LE1.4,05/02/09,09:03:00,1.6,38.312,-76.42151,CHESEAPEK_BAY,0.007002163,0.008103275,0.005093192,0.006603685,0.001733527,4.99e-05,0.000595279,LE07_L1TP_014033_20090206_20160917_01_T1,3.8003969192504883
24,24,24,72,Daniel_91572_CB4.3C,12/06/20,09:30:00,1.2,38.55505,-76.42794,EOTB,0.001940224,0.004046045,0.001908433,0.003554086,0.001012288,-0.000419291,0.000217385,LE07_L1TP_014033_20200612_20200708_01_T1,3.343568801879883
25,25,25,77,Daniel_100379_LE1.2,13/12/99,11:31:00,1.4,38.37887,-76.51132,EOTB,0.005415439,0.008149225,0.004183292,0.00629349,0.002400393,0.000681334,-0.000408878,LE07_L1TP_014033_19991212_20161003_01_T1,2.8793015480041504
26,26,26,83,Daniel_27243_CB3.3C,15/04/08,15:06:00,0.5,38.99596,-76.35967,CHESEAPEK_BAY,0.012559986,0.021327013,0.016428974,0.015039464,0.006825217,0.004493861,0.003793966,LE07_L1TP_015033_20080415_20160919_01_T1,0.5504621267318726
27,27,27,86,Daniel_22287_CB2.1,12/06/20,10:00:00,0.5,39.44149,-76.02599,CHESEAPEK_BAY,0.00435502,0.010235038,0.007174656,0.006926842,0.001882341,-0.000924855,-0.000521385,LE07_L1TP_014033_20200612_20200708_01_T1,0.8160454034805298
28,28,28,91,Daniel_108530_ET6.2,17/09/14,13:00:00,0.4,38.34133,-75.88834,EOTB,0.009235284,0.01534141,0.013420982,0.013013045,0.007082271,0.001754639,0.001707286,LE07_L1TP_014033_20140916_20160903_01_T1,0.6277509331703186
